time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z
0.13014817237854004,0.0,0.0,0.0,0.0,0.0,0.0
0.14675021171569824,0.00015232035535825764,-6.259108212376338e-06,0.002146490979436144,0.0006687717441444599,-0.057930356699499086,-0.01651378262315136
0.16140961647033691,0.0,0.0,0.0,0.0,0.0,0.0
0.1788949966430664,0.0,0.0,0.0,0.0,0.0,0.0
0.1969149112701416,0.0,0.0,0.0,0.0,0.0,0.0
0.2143244743347168,0.0,0.0,0.0,0.0,0.0,0.0
0.232649564743042,0.0,0.0,0.0,0.0,0.0,0.0
0.24666857719421387,0.0,0.0,0.0,0.0,0.0,0.0
0.2640995979309082,0.0,0.0,0.0,0.0,0.0,0.0
0.2807128429412842,0.0,0.0,0.0,0.0,0.0,0.0
0.29595017433166504,0.0,0.0,0.0,0.0,0.0,0.0
0.3134188652038574,0.0,0.0,0.0,0.0,0.0,0.0
0.33039379119873047,0.0,0.0,0.0,0.0,0.0,0.0
0.3460869789123535,0.0,0.0,0.0,0.0,0.0,0.0
0.36346864700317383,0.0,0.0,0.0,0.0,0.0,0.0
0.38067197799682617,0.0,0.0,0.0,0.0,0.0,0.0
0.39681529998779297,0.0,0.0,0.0,0.0,0.0,0.0
0.4142019748687744,0.0,0.0,0.0,0.0,0.0,0.0
0.4300663471221924,0.0,0.0,0.0,0.0,0.0,0.0
0.44735240936279297,0.0,0.0,0.0,0.0,0.0,0.0
0.4634742736816406,0.0,0.0,0.0,0.0,0.0,0.0
0.4811525344848633,0.0,0.0,0.0,0.0,0.0,0.0
0.498126745223999,0.00015232035535825764,-6.259108212376338e-06,0.002146490979436144,0.0006687717441444599,-0.057930356699499086,-0.01651378262315136
0.5118980407714844,0.00015232035535825764,-6.259108212376338e-06,0.002146490979436144,0.0006687717441444599,-0.057930356699499086,-0.01651378262315136
0.5301132202148438,0.0,0.0,0.0,0.0,0.0,0.0
0.5477826595306396,0.0,0.0,0.0,0.0,0.0,0.0
0.5653681755065918,0.0,0.0,0.0,0.0,0.0,0.0
0.5819687843322754,0.0,0.0,0.0,0.0,0.0,0.0
0.5981731414794922,0.00015232035535825764,-6.259108212376338e-06,0.002146490979436144,0.0006687717441444599,-0.057930356699499086,-0.01651378262315136
0.6152009963989258,0.0,0.0,0.0,0.0,0.0,0.0
0.6306841373443604,0.0,0.0,0.0,0.0,0.0,0.0
0.6471524238586426,0.0,0.0,0.0,0.0,0.0,0.0
0.6640233993530273,0.0,0.0,0.0,0.0,0.0,0.0
0.6811957359313965,0.0,0.0,0.0,0.0,0.0,0.0
0.6983683109283447,0.0,0.0,0.0,0.0,0.0,0.0
0.713564395904541,0.0,0.0,0.0,0.0,0.0,0.0
0.7309272289276123,0.0,0.0,0.0,0.0,0.0,0.0
0.7473063468933105,0.0,0.0,0.0,0.0,0.0,0.0
0.7637207508087158,0.0,0.0,0.0,0.0,0.0,0.0
0.7803463935852051,0.00015232035535825764,-6.259108212376338e-06,0.002146490979436144,0.0006687717441444599,-0.057930356699499086,-0.01651378262315136
0.7973394393920898,0.0,0.0,0.0,0.0,0.0,0.0
0.8119213581085205,0.0,0.0,0.0,0.0,0.0,0.0
0.8310208320617676,0.0,0.0,0.0,0.0,0.0,0.0
0.8461322784423828,0.0,0.0,0.0,0.0,0.0,0.0
0.8619701862335205,0.0,0.0,0.0,0.0,0.0,0.0
0.8787274360656738,0.0,0.0,0.0,0.0,0.0,0.0
0.8954067230224609,0.0,0.0,0.0,0.0,0.0,0.0
0.9116160869598389,0.0,0.0,0.0,0.0,0.0,0.0
0.9284789562225342,0.0,0.0,0.0,0.0,0.0,0.0
0.9455556869506836,0.0,0.0,0.0,0.0,0.0,0.0
0.9621372222900391,0.0,0.0,0.0,0.0,0.0,0.0
0.9785068035125732,0.0,0.0,0.0,0.0,0.0,0.0
0.9961004257202148,0.00015232035535825764,-6.259108212376338e-06,0.002146490979436144,0.0006687717441444599,-0.057930356699499086,-0.01651378262315136
1.0125479698181152,0.00015232035535825764,-6.259108212376338e-06,0.002146490979436144,0.0006687717441444599,-0.057930356699499086,-0.01651378262315136
1.028949499130249,0.0,0.0,0.0,0.0,0.0,0.0
1.0470726490020752,0.0,0.0,0.0,0.0,0.0,0.0
1.0620908737182617,0.0,0.0,0.0,0.0,0.0,0.0
1.0801846981048584,0.0,0.0,0.0,0.0,0.0,0.0
1.0971620082855225,0.00015232035535825764,-6.259108212376338e-06,0.002146490979436144,0.0006687717441444599,-0.057930356699499086,-0.01651378262315136
1.114377737045288,0.0,0.0,0.0,0.0,0.0,0.0
1.1316349506378174,0.0,0.0,0.0,0.0,0.0,0.0
1.1464622020721436,0.00015232035535825764,-6.259108212376338e-06,0.002146490979436144,0.0006687717441444599,-0.057930356699499086,-0.01651378262315136
1.1623759269714355,0.0,0.0,0.0,0.0,0.0,0.0
1.179281234741211,0.0,0.0,0.0,0.0,0.0,0.0
1.195695161819458,0.0,0.0,0.0,0.0,0.0,0.0
1.2127070426940918,0.0,0.0,0.0,0.0,0.0,0.0
1.2299911975860596,0.0,0.0,0.0,0.0,0.0,0.0
1.2460954189300537,0.00015232035535825764,-6.259108212376338e-06,0.002146490979436144,0.0006687717441444599,-0.057930356699499086,-0.01651378262315136
1.2627589702606201,0.0,0.0,0.0,0.0,0.0,0.0
1.2793211936950684,0.0,0.0,0.0,0.0,0.0,0.0
1.295445203781128,0.0,0.0,0.0,0.0,0.0,0.0
1.314157485961914,0.0,0.0,0.0,0.0,0.0,0.0
