%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq,field.transforms0.fiducial_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms0.image_error,field.transforms0.object_error,field.transforms0.fiducial_area
1683654612926907300,9,1683654612926907300,camera_1,12,0,-0.21855817574268388,-0.47044851210563654,3.4287191899834606,-0.7810815612947308,-0.6212270283712242,-0.06308965048597238,-0.0028757308639428764,0.007526340079493821,0.0021378045592142024,7398.149626414756
1683654612936369180,10,1683654612936369180,camera_1,13
1683654612945795774,11,1683654612945795774,camera_1,14
1683654612954914569,12,1683654612954914569,camera_1,15
1683654612964341402,13,1683654612964341402,camera_1,16,0,-0.2184657014502121,-0.4701426564361997,3.4251155785269813,0.7817303048199742,0.6206088370365762,0.060779683436611005,0.006944926171243628,0.027078080573119223,0.007679388504262823,7416.319038477027
1683654612973543643,14,1683654612973543643,camera_1,17,0,-0.21843898008082557,-0.4702529966372051,3.425579506259241,0.7812866386042264,0.6207967144076849,0.06199973559601618,0.018938334276180992,0.015323988045565784,0.00434848799030017,7405.327045269314
1683654612983068943,15,1683654612983068943,camera_1,18
1683654612992698669,16,1683654612992698669,camera_1,19,0,-0.2180755169419464,-0.46959985151327455,3.421218004962052,0.7806156536053854,0.6209012125890433,0.06337168014320455,0.033240272374334454,0.01326390850590542,0.003759945329532446,7408.076979457164
1683654613002705335,17,1683654613002705335,camera_1,20
1683654613011826992,18,1683654613011826992,camera_1,21
1683654613020873546,19,1683654613020873546,camera_1,22
1683654613029695034,20,1683654613029695034,camera_1,23
1683654613038940668,21,1683654613038940668,camera_1,24,0,-0.21889314303710192,-0.4712511474591538,3.4322424571545587,0.78221642767747,0.6206687148095937,0.05312533195390931,0.00924693640573287,0.036261754808947444,0.01032937377642387,7397.427765509114
1683654613048065423,22,1683654613048065423,camera_1,25
1683654613058366298,23,1683654613058366298,camera_1,26
1683654613067106485,24,1683654613067106485,camera_1,27,0,-0.21845499833767323,-0.47027482189860803,3.4257344265010707,0.7811530911680027,0.6208169403081091,0.05932588346384018,0.029438314088731717,0.017003671790007505,0.004831091073572493,7400.09686062718
1683654613076338768,25,1683654613076338768,camera_1,28
1683654613085757970,26,1683654613085757970,camera_1,29
1683654613094995975,27,1683654613094995975,camera_1,30
1683654613104292392,28,1683654613104292392,camera_1,31
1683654613113679170,29,1683654613113679170,camera_1,32,0,-0.2175150145258825,-0.46910638961477963,3.4189582605582722,-0.7811536623608218,-0.6197107509713696,0.06711463518436672,0.035400093994874086,0.0007704382878728211,0.00021780745496606725,7420.190320219843
1683654613122884273,30,1683654613122884273,camera_1,33
1683654613132064104,31,1683654613132064104,camera_1,34
1683654613141553401,32,1683654613141553401,camera_1,35,0,-0.218606386229108,-0.4709799197403419,3.430826283383845,-0.7810469122396108,-0.6217352260107589,-0.058214238539953514,0.004704471227854544,0.01365113037172705,0.0038841791466299666,7398.66092332825
1683654613150800943,33,1683654613150800943,camera_1,36
1683654613160179138,34,1683654613160179138,camera_1,37
1683654613169803857,35,1683654613169803857,camera_1,38
1683654613179004907,36,1683654613179004907,camera_1,39
1683654613188195228,37,1683654613188195228,camera_1,40,0,-0.21848217767437791,-0.47056338367849937,3.4283179991007837,0.7806545904438796,0.6220844960105544,0.059787820062850744,0.003834946456655516,0.03719530958915129,0.010566389138795653,7405.369721031748
1683654613197806596,38,1683654613197806596,camera_1,41
1683654613206872224,39,1683654613206872224,camera_1,42,0,-0.2184197348499778,-0.47050387707641234,3.4273996906849846,0.781704493180324,0.6209486216192073,0.05401012999219479,0.021066573264904454,0.009923381090629846,0.002819664115902117,7409.646717813565
1683654613216525316,40,1683654613216525316,camera_1,43,0,-0.21814442501002623,-0.47008747550489666,3.4246202207144454,0.7809463640856315,0.6215340818365926,0.0606415311389763,0.011864494852159825,0.004083445412106812,0.001157699768318907,7416.559859568486
1683654613225421428,41,1683654613225421428,camera_1,44
1683654613234987974,42,1683654613234987974,camera_1,45
1683654613244262456,43,1683654613244262456,camera_1,46
1683654613253405332,44,1683654613253405332,camera_1,47,0,-0.2184154858268385,-0.47075968730458667,3.428612003272171,0.7811599208108623,0.6216049098769092,0.056342731894647335,0.014900023434040146,0.02731281577143818,0.007762290903285331,7404.860788457559
1683654613263186216,45,1683654613263186216,camera_1,48
1683654613272333145,46,1683654613272333145,camera_1,49
1683654613281408786,47,1683654613281408786,camera_1,50
1683654613290903568,48,1683654613290903568,camera_1,51,0,-0.21850770916406048,-0.4705721500610625,3.4280890330351665,0.7817008317427767,0.6211242841692434,0.05354516272822574,0.016773455705494968,0.0234155377256684,0.0066546298554813555,7410.589144898111
1683654613300029277,49,1683654613300029277,camera_1,52
1683654613309451103,50,1683654613309451103,camera_1,53
1683654613319055557,51,1683654613319055557,camera_1,54
1683654613328049659,52,1683654613328049659,camera_1,55
1683654613337491989,53,1683654613337491989,camera_1,56
1683654613346958398,54,1683654613346958398,camera_1,57
1683654613356019258,55,1683654613356019258,camera_1,58,0,-0.21864903590325419,-0.4709485671589298,3.4309791600422974,0.781150441525739,0.6216188741404618,0.05820532796086608,-0.0024703873088614244,0.0014247869839891794,0.0004052891513404887,7397.9408410554715
