Time,Distance
2023-04-20 06:17:03.386182,-1.93974
2023-04-20 06:17:03.387182,-1.98956
2023-04-20 06:17:03.388182,-2.03938
2023-04-20 06:17:03.389182,-2.08297
2023-04-20 06:17:03.390182,-2.12656
2023-04-20 06:17:03.391182,-2.16703
2023-04-20 06:17:03.392182,-2.2044
2023-04-20 06:17:03.393182,-2.23553
2023-04-20 06:17:03.394182,-2.26667
2023-04-20 06:17:03.395182,-2.29469
2023-04-20 06:17:03.396182,-2.3196
2023-04-20 06:17:03.397182,-2.34451
2023-04-20 06:17:03.398182,-2.3663
2023-04-20 06:17:03.399182,-2.38498
2023-04-20 06:17:03.400182,-2.39744
2023-04-20 06:17:03.401182,-2.40989
2023-04-20 06:17:03.402182,-2.41612
2023-04-20 06:17:03.403182,-2.41612
2023-04-20 06:17:03.404182,-2.41612
2023-04-20 06:17:03.405182,-2.41612
2023-04-20 06:17:03.406182,-2.41612
2023-04-20 06:17:03.407182,-2.413
2023-04-20 06:17:03.408182,-2.40366
2023-04-20 06:17:03.409182,-2.39121
2023-04-20 06:17:03.410182,-2.37875
2023-04-20 06:17:03.411182,-2.36007
2023-04-20 06:17:03.412182,-2.33516
2023-04-20 06:17:03.413182,-2.31026
2023-04-20 06:17:03.414182,-2.28535
2023-04-20 06:17:03.415182,-2.25421
2023-04-20 06:17:03.416182,-2.22308
2023-04-20 06:17:03.417182,-2.18883
2023-04-20 06:17:03.418182,-2.14835
2023-04-20 06:17:03.419182,-2.10788
2023-04-20 06:17:03.420182,-2.0674
2023-04-20 06:17:03.421182,-2.0207
2023-04-20 06:17:03.422182,-1.97088
2023-04-20 06:17:03.423182,-1.91484
2023-04-20 06:17:03.424182,-1.8619
2023-04-20 06:17:03.425182,-1.80275
2023-04-20 06:17:03.426182,-1.74359
2023-04-20 06:17:03.427182,-1.68443
2023-04-20 06:17:03.428182,-1.61905
2023-04-20 06:17:03.429182,-1.55678
2023-04-20 06:17:03.430182,-1.49139
2023-04-20 06:17:03.431182,-1.42289
2023-04-20 06:17:03.432182,-1.35128
2023-04-20 06:17:03.433182,-1.27656
2023-04-20 06:17:03.434182,-1.20495
2023-04-20 06:17:03.435182,-1.13022
2023-04-20 06:17:03.436182,-1.05549
2023-04-20 06:17:03.437182,-0.97766
2023-04-20 06:17:03.438182,-0.89359
2023-04-20 06:17:03.439182,-0.81575
2023-04-20 06:17:03.440182,-0.73168
2023-04-20 06:17:03.441182,-0.65073
2023-04-20 06:17:03.442182,-0.56667
2023-04-20 06:17:03.443182,-0.4826
2023-04-20 06:17:03.444182,-0.39231
2023-04-20 06:17:03.445182,-0.30513
2023-04-20 06:17:03.446182,-0.21484
2023-04-20 06:17:03.447182,-0.12454
2023-04-20 06:17:03.448182,-0.03114
2023-04-20 06:17:03.449182,0.06227
2023-04-20 06:17:03.450182,0.15568
2023-04-20 06:17:03.451182,0.24908
2023-04-20 06:17:03.452182,0.3456
2023-04-20 06:17:03.453182,0.43901
2023-04-20 06:17:03.454182,0.53242
2023-04-20 06:17:03.455182,0.62271
2023-04-20 06:17:03.456182,0.71612
2023-04-20 06:17:03.457182,0.80641
2023-04-20 06:17:03.458182,0.89359
2023-04-20 06:17:03.459182,0.987
