Controller name: ILD1420, Controller serial number: 18040260, Controller option: 000, Controller article number: 4120216, Measurement range: 200.000 mm, Measurement rate: 1.000 kHz, Controller software version: 001.028, Controller hardware revision: 01, Boot loader version: 001.006, CableHead: : Wire, User level: 1, Default user: 1, Echo: 0, Display unit: 0: mm, Trigger mode: 0: none, Trigger moment: 0: input, Trigger count: 1, Multi function input mode: 0: none, Multi function input level: 0: high, Laser power: 0: full, Region of interest start: 0, Region of interest end: 511, Average type: 3: median, Median average count: 9, Master value set: 0: off, Data out interface: 0: Web diagram, Resampling count: 1, Resampling RS422 output: 0: off, Resampling analog output: 0: off, Hold last valid value: -1: show all error values, Error output1: 1: on, Error level output1: 0 NPN, Key function: 2: Teach, Analog scale mode: 0: standard, Current settings names: 1000Hz, Available settings names: 1000Hz, 1000 Hz, Preset names: Standard, Distance1 RS422 output: 1: on, Shutter time RS422 output: 0: off, Measurement value counter RS422 output: 0: off, Timestamp high word RS422 output: 0: off, Timestamp low word RS422 output: 0: off, Intensity RS422 output: 0: off, State RS422 output: 0: off, Distance uncalibrated RS422 output: 0: off, 
DAQ-Start-Time:, 2023-04-12 10:01:18.214, 
Snapshot Time Stamp, Distance [mm]
2023-04-12 10:02:19.700233,   18.98223
2023-04-12 10:02:19.701233,   19.03516
2023-04-12 10:02:19.702233,   19.09432
2023-04-12 10:02:19.703233,   19.15037
2023-04-12 10:02:19.704233,   19.21264
2023-04-12 10:02:19.705233,   19.27802
2023-04-12 10:02:19.706233,   19.34341
2023-04-12 10:02:19.707233,   19.41190
2023-04-12 10:02:19.708233,   19.48040
2023-04-12 10:02:19.709233,   19.54890
2023-04-12 10:02:19.710233,   19.62051
2023-04-12 10:02:19.711233,   19.68901
2023-04-12 10:02:19.712233,   19.75751
2023-04-12 10:02:19.713233,   19.82912
2023-04-12 10:02:19.714233,   19.89762
2023-04-12 10:02:19.715233,   19.96612
2023-04-12 10:02:19.716233,   20.03462
2023-04-12 10:02:19.717233,   20.09689
2023-04-12 10:02:19.718233,   20.16538
2023-04-12 10:02:19.719233,   20.22766
2023-04-12 10:02:19.720233,   20.28993
2023-04-12 10:02:19.721233,   20.34908
2023-04-12 10:02:19.722233,   20.40824
2023-04-12 10:02:19.723233,   20.46117
2023-04-12 10:02:19.724233,   20.51099
2023-04-12 10:02:19.725233,   20.56081
2023-04-12 10:02:19.726233,   20.60440
2023-04-12 10:02:19.727233,   20.64487
2023-04-12 10:02:19.728233,   20.68223
2023-04-12 10:02:19.729233,   20.71337
2023-04-12 10:02:19.730233,   20.74451
2023-04-12 10:02:19.731233,   20.76941
2023-04-12 10:02:19.732233,   20.79121
2023-04-12 10:02:19.733233,   20.80678
2023-04-12 10:02:19.734233,   20.81923
2023-04-12 10:02:19.735233,   20.81923
2023-04-12 10:02:19.736233,   20.81923
2023-04-12 10:02:19.737233,   20.81923
2023-04-12 10:02:19.738233,   20.81923
2023-04-12 10:02:19.739233,   20.81300
2023-04-12 10:02:19.740233,   20.79744
2023-04-12 10:02:19.741233,   20.77875
2023-04-12 10:02:19.742233,   20.75696
2023-04-12 10:02:19.743233,   20.72894
2023-04-12 10:02:19.744233,   20.69780
2023-04-12 10:02:19.745233,   20.66355
2023-04-12 10:02:19.746233,   20.62619
2023-04-12 10:02:19.747233,   20.58260
2023-04-12 10:02:19.748233,   20.53278
2023-04-12 10:02:19.749233,   20.48297
2023-04-12 10:02:19.750233,   20.43315
2023-04-12 10:02:19.751233,   20.37711
2023-04-12 10:02:19.752233,   20.31484
2023-04-12 10:02:19.753233,   20.25568
2023-04-12 10:02:19.754233,   20.19341
2023-04-12 10:02:19.755233,   20.12491
2023-04-12 10:02:19.756233,   20.05952
2023-04-12 10:02:19.757233,   19.99414
2023-04-12 10:02:19.758233,   19.92564
2023-04-12 10:02:19.759233,   19.85714
2023-04-12 10:02:19.760233,   19.78864
2023-04-12 10:02:19.761233,   19.71703
2023-04-12 10:02:19.762233,   19.64853
2023-04-12 10:02:19.763233,   19.58004
2023-04-12 10:02:19.764233,   19.50842
2023-04-12 10:02:19.765233,   19.43993
2023-04-12 10:02:19.766233,   19.37143
2023-04-12 10:02:19.767233,   19.30604
2023-04-12 10:02:19.768233,   19.24066
2023-04-12 10:02:19.769233,   19.17839
2023-04-12 10:02:19.770233,   19.11923
2023-04-12 10:02:19.771233,   19.06007
2023-04-12 10:02:19.772233,   19.00714
2023-04-12 10:02:19.773233,   18.95421
2023-04-12 10:02:19.774233,   18.90751
2023-04-12 10:02:19.775233,   18.86081
2023-04-12 10:02:19.776233,   18.81722
2023-04-12 10:02:19.777233,   18.77674
2023-04-12 10:02:19.778233,   18.74249
2023-04-12 10:02:19.779233,   18.71136
2023-04-12 10:02:19.780233,   18.68333
2023-04-12 10:02:19.781233,   18.65842
2023-04-12 10:02:19.782233,   18.63663
2023-04-12 10:02:19.783233,   18.62106
2023-04-12 10:02:19.784233,   18.60861
2023-04-12 10:02:19.785233,   18.60861
2023-04-12 10:02:19.786233,   18.60861
2023-04-12 10:02:19.787233,   18.60861
2023-04-12 10:02:19.788233,   18.60861
2023-04-12 10:02:19.789233,   18.61172
2023-04-12 10:02:19.790233,   18.62729
2023-04-12 10:02:19.791233,   18.64597
2023-04-12 10:02:19.792233,   18.67088
2023-04-12 10:02:19.793233,   18.69579
2023-04-12 10:02:19.794233,   18.72692
2023-04-12 10:02:19.795233,   18.76117
2023-04-12 10:02:19.796233,   18.79853
2023-04-12 10:02:19.797233,   18.83901
2023-04-12 10:02:19.798233,   18.88571
2023-04-12 10:02:19.799233,   18.93242
2023-04-12 10:02:19.800233,   18.98223
2023-04-12 10:02:19.801233,   19.03828
2023-04-12 10:02:19.802233,   19.09432
2023-04-12 10:02:19.803233,   19.15348
2023-04-12 10:02:19.804233,   19.21575
2023-04-12 10:02:19.805233,   19.27802
2023-04-12 10:02:19.806233,   19.34341
2023-04-12 10:02:19.807233,   19.41190
2023-04-12 10:02:19.808233,   19.48352
2023-04-12 10:02:19.809233,   19.54890
2023-04-12 10:02:19.810233,   19.62051
2023-04-12 10:02:19.811233,   19.69212
