Controller name: ILD1420, Controller serial number: 18040260, Controller option: 000, Controller article number: 4120216, Measurement range: 200.000 mm, Measurement rate: 1.000 kHz, Controller software version: 001.028, Controller hardware revision: 01, Boot loader version: 001.006, CableHead: : Wire, User level: 1, Default user: 1, Echo: 0, Display unit: 0: mm, Trigger mode: 0: none, Trigger moment: 0: input, Trigger count: 1, Multi function input mode: 0: none, Multi function input level: 0: high, Laser power: 0: full, Region of interest start: 0, Region of interest end: 511, Average type: 3: median, Median average count: 9, Master value set: 0: off, Data out interface: 0: Web diagram, Resampling count: 1, Resampling RS422 output: 0: off, Resampling analog output: 0: off, Hold last valid value: -1: show all error values, Error output1: 1: on, Error level output1: 0 NPN, Key function: 2: Teach, Analog scale mode: 0: standard, Current settings names: 1000Hz, Available settings names: 1000Hz, 1000 Hz, Preset names: Standard, Distance1 RS422 output: 1: on, Shutter time RS422 output: 0: off, Measurement value counter RS422 output: 0: off, Timestamp high word RS422 output: 0: off, Timestamp low word RS422 output: 0: off, Intensity RS422 output: 0: off, State RS422 output: 0: off, Distance uncalibrated RS422 output: 0: off, 
DAQ-Start-Time:, 2023-04-12 09:42:13.822, 
Snapshot Time Stamp, Distance [mm]
2023-04-12 09:43:09.641649,   19.60806
2023-04-12 09:43:09.642649,   19.61740
2023-04-12 09:43:09.643649,   19.62985
2023-04-12 09:43:09.644650,   19.64542
2023-04-12 09:43:09.645649,   19.66099
2023-04-12 09:43:09.646649,   19.67967
2023-04-12 09:43:09.647650,   19.69835
2023-04-12 09:43:09.648649,   19.71703
2023-04-12 09:43:09.649649,   19.73883
2023-04-12 09:43:09.650649,   19.75751
2023-04-12 09:43:09.651649,   19.77930
2023-04-12 09:43:09.652649,   19.80110
2023-04-12 09:43:09.653649,   19.82289
2023-04-12 09:43:09.654649,   19.83846
2023-04-12 09:43:09.655649,   19.85714
2023-04-12 09:43:09.656649,   19.87271
2023-04-12 09:43:09.657650,   19.88828
2023-04-12 09:43:09.658649,   19.90073
2023-04-12 09:43:09.659649,   19.91007
2023-04-12 09:43:09.660649,   19.91941
2023-04-12 09:43:09.661649,   19.91941
2023-04-12 09:43:09.662649,   19.91941
2023-04-12 09:43:09.663649,   19.91941
2023-04-12 09:43:09.664649,   19.91941
2023-04-12 09:43:09.665649,   19.91941
2023-04-12 09:43:09.666649,   19.91007
2023-04-12 09:43:09.667650,   19.90073
2023-04-12 09:43:09.668649,   19.89139
2023-04-12 09:43:09.669649,   19.87582
2023-04-12 09:43:09.670650,   19.86026
2023-04-12 09:43:09.671649,   19.84158
2023-04-12 09:43:09.672649,   19.82289
2023-04-12 09:43:09.673649,   19.80421
2023-04-12 09:43:09.674649,   19.78242
2023-04-12 09:43:09.675649,   19.76062
2023-04-12 09:43:09.676649,   19.74194
2023-04-12 09:43:09.677649,   19.72015
2023-04-12 09:43:09.678649,   19.70147
2023-04-12 09:43:09.679649,   19.67967
2023-04-12 09:43:09.680650,   19.66410
2023-04-12 09:43:09.681649,   19.64542
2023-04-12 09:43:09.682649,   19.63297
2023-04-12 09:43:09.683649,   19.62051
2023-04-12 09:43:09.684649,   19.61117
2023-04-12 09:43:09.685649,   19.60183
2023-04-12 09:43:09.686649,   19.60183
2023-04-12 09:43:09.687649,   19.60183
2023-04-12 09:43:09.688649,   19.60183
2023-04-12 09:43:09.689649,   19.60183
2023-04-12 09:43:09.690650,   19.60183
2023-04-12 09:43:09.691649,   19.60806
2023-04-12 09:43:09.692649,   19.61740
2023-04-12 09:43:09.693650,   19.62985
2023-04-12 09:43:09.694649,   19.64542
2023-04-12 09:43:09.695649,   19.66099
2023-04-12 09:43:09.696649,   19.67967
2023-04-12 09:43:09.697649,   19.69835
2023-04-12 09:43:09.698649,   19.71703
2023-04-12 09:43:09.699649,   19.73883
2023-04-12 09:43:09.700649,   19.75751
2023-04-12 09:43:09.701649,   19.77930
