Controller name: ILD1420, Controller serial number: 18040260, Controller option: 000, Controller article number: 4120216, Measurement range: 200.000 mm, Measurement rate: 1.000 kHz, Controller software version: 001.028, Controller hardware revision: 01, Boot loader version: 001.006, CableHead: : Wire, User level: 1, Default user: 1, Echo: 0, Display unit: 0: mm, Trigger mode: 0: none, Trigger moment: 0: input, Trigger count: 1, Multi function input mode: 0: none, Multi function input level: 0: high, Laser power: 0: full, Region of interest start: 0, Region of interest end: 511, Average type: 3: median, Median average count: 9, Master value set: 0: off, Data out interface: 0: Web diagram, Resampling count: 1, Resampling RS422 output: 0: off, Resampling analog output: 0: off, Hold last valid value: -1: show all error values, Error output1: 1: on, Error level output1: 0 NPN, Key function: 2: Teach, Analog scale mode: 0: standard, Current settings names: 1000Hz, Available settings names: 1000Hz, 1000 Hz, Preset names: Standard, Distance1 RS422 output: 1: on, Shutter time RS422 output: 0: off, Measurement value counter RS422 output: 0: off, Timestamp high word RS422 output: 0: off, Timestamp low word RS422 output: 0: off, Intensity RS422 output: 0: off, State RS422 output: 0: off, Distance uncalibrated RS422 output: 0: off, 
DAQ-Start-Time:, 2023-04-12 10:16:06.239, 
Snapshot Time Stamp, Distance [mm]
2023-04-12 10:16:55.706615,   25.48333
2023-04-12 10:16:55.707615,   25.66081
2023-04-12 10:16:55.708615,   25.83516
2023-04-12 10:16:55.709615,   26.00952
2023-04-12 10:16:55.710615,   26.18077
2023-04-12 10:16:55.711615,   26.35201
2023-04-12 10:16:55.712615,   26.52326
2023-04-12 10:16:55.713615,   26.68516
2023-04-12 10:16:55.714615,   26.84707
2023-04-12 10:16:55.715615,   27.00897
2023-04-12 10:16:55.716615,   27.16777
2023-04-12 10:16:55.717615,   27.32344
2023-04-12 10:16:55.718615,   27.47912
2023-04-12 10:16:55.719615,   27.62857
2023-04-12 10:16:55.720615,   27.77179
2023-04-12 10:16:55.721615,   27.91813
2023-04-12 10:16:55.722615,   28.06136
2023-04-12 10:16:55.723615,   28.20458
2023-04-12 10:16:55.724615,   28.34469
2023-04-12 10:16:55.725615,   28.47857
2023-04-12 10:16:55.726615,   28.61557
2023-04-12 10:16:55.727615,   28.74322
2023-04-12 10:16:55.728615,   28.87399
2023-04-12 10:16:55.729615,   28.99542
2023-04-12 10:16:55.730615,   29.11685
2023-04-12 10:16:55.731615,   29.23205
2023-04-12 10:16:55.732615,   29.34725
2023-04-12 10:16:55.733615,   29.45934
2023-04-12 10:16:55.734615,   29.56832
2023-04-12 10:16:55.735615,   29.67729
2023-04-12 10:16:55.736615,   29.77692
2023-04-12 10:16:55.737615,   29.87656
2023-04-12 10:16:55.738615,   29.97308
2023-04-12 10:16:55.739615,   30.06337
2023-04-12 10:16:55.740615,   30.15366
2023-04-12 10:16:55.741615,   30.23773
2023-04-12 10:16:55.742615,   30.31868
2023-04-12 10:16:55.743615,   30.39652
2023-04-12 10:16:55.744615,   30.47436
2023-04-12 10:16:55.745615,   30.54597
2023-04-12 10:16:55.746615,   30.61758
2023-04-12 10:16:55.747615,   30.68297
2023-04-12 10:16:55.748615,   30.74524
2023-04-12 10:16:55.749615,   30.80440
2023-04-12 10:16:55.750615,   30.86044
2023-04-12 10:16:55.751615,   30.91337
2023-04-12 10:16:55.752615,   30.96319
2023-04-12 10:16:55.753615,   31.00678
2023-04-12 10:16:55.754615,   31.04725
2023-04-12 10:16:55.755615,   31.08462
2023-04-12 10:16:55.756615,   31.11575
2023-04-12 10:16:55.757615,   31.14689
2023-04-12 10:16:55.758615,   31.17179
2023-04-12 10:16:55.759615,   31.19359
2023-04-12 10:16:55.760615,   31.21227
2023-04-12 10:16:55.761615,   31.22473
2023-04-12 10:16:55.762615,   31.23718
2023-04-12 10:16:55.763615,   31.23718
2023-04-12 10:16:55.764615,   31.23718
2023-04-12 10:16:55.765615,   31.23718
2023-04-12 10:16:55.766615,   31.23718
2023-04-12 10:16:55.767615,   31.23718
2023-04-12 10:16:55.768615,   31.22784
2023-04-12 10:16:55.769615,   31.21227
2023-04-12 10:16:55.770615,   31.19359
2023-04-12 10:16:55.771615,   31.17491
2023-04-12 10:16:55.772615,   31.15000
2023-04-12 10:16:55.773615,   31.11886
2023-04-12 10:16:55.774615,   31.08773
2023-04-12 10:16:55.775615,   31.05037
2023-04-12 10:16:55.776615,   31.00989
2023-04-12 10:16:55.777615,   30.96630
2023-04-12 10:16:55.778615,   30.91960
2023-04-12 10:16:55.779615,   30.86667
2023-04-12 10:16:55.780615,   30.81374
2023-04-12 10:16:55.781615,   30.75458
2023-04-12 10:16:55.782615,   30.69231
2023-04-12 10:16:55.783615,   30.62692
2023-04-12 10:16:55.784615,   30.55842
2023-04-12 10:16:55.785615,   30.48681
2023-04-12 10:16:55.786615,   30.41209
2023-04-12 10:16:55.787615,   30.33114
2023-04-12 10:16:55.788615,   30.25018
2023-04-12 10:16:55.789615,   30.16923
2023-04-12 10:16:55.790615,   30.07894
2023-04-12 10:16:55.791615,   29.99176
2023-04-12 10:16:55.792615,   29.89524
2023-04-12 10:16:55.793615,   29.79560
2023-04-12 10:16:55.794615,   29.69597
2023-04-12 10:16:55.795615,   29.59011
2023-04-12 10:16:55.796615,   29.48425
2023-04-12 10:16:55.797615,   29.37216
2023-04-12 10:16:55.798615,   29.25696
2023-04-12 10:16:55.799615,   29.14176
2023-04-12 10:16:55.800615,   29.02344
