Controller name: ILD1420, Controller serial number: 18040260, Controller option: 000, Controller article number: 4120216, Measurement range: 200.000 mm, Measurement rate: 1.000 kHz, Controller software version: 001.028, Controller hardware revision: 01, Boot loader version: 001.006, CableHead: : Wire, User level: 1, Default user: 1, Echo: 0, Display unit: 0: mm, Trigger mode: 0: none, Trigger moment: 0: input, Trigger count: 1, Multi function input mode: 0: none, Multi function input level: 0: high, Laser power: 0: full, Region of interest start: 0, Region of interest end: 511, Average type: 3: median, Median average count: 9, Master value set: 0: off, Data out interface: 0: Web diagram, Resampling count: 1, Resampling RS422 output: 0: off, Resampling analog output: 0: off, Hold last valid value: -1: show all error values, Error output1: 1: on, Error level output1: 0 NPN, Key function: 2: Teach, Analog scale mode: 0: standard, Current settings names: 1000Hz, Available settings names: 1000Hz, 1000 Hz, Preset names: Standard, Distance1 RS422 output: 1: on, Shutter time RS422 output: 0: off, Measurement value counter RS422 output: 0: off, Timestamp high word RS422 output: 0: off, Timestamp low word RS422 output: 0: off, Intensity RS422 output: 0: off, State RS422 output: 0: off, Distance uncalibrated RS422 output: 0: off, 
DAQ-Start-Time:, 2023-04-12 09:53:34.961, 
Snapshot Time Stamp, Distance [mm]
2023-04-12 09:54:26.725403,   19.99414
2023-04-12 09:54:26.726403,   20.01905
2023-04-12 09:54:26.727403,   20.04084
2023-04-12 09:54:26.728403,   20.06264
2023-04-12 09:54:26.729403,   20.07821
2023-04-12 09:54:26.730403,   20.09377
2023-04-12 09:54:26.731403,   20.10623
2023-04-12 09:54:26.732403,   20.11557
2023-04-12 09:54:26.733403,   20.11557
2023-04-12 09:54:26.734403,   20.11557
2023-04-12 09:54:26.735403,   20.11557
2023-04-12 09:54:26.736403,   20.11557
2023-04-12 09:54:26.737403,   20.10934
2023-04-12 09:54:26.738403,   20.10000
2023-04-12 09:54:26.739403,   20.08755
2023-04-12 09:54:26.740403,   20.07198
2023-04-12 09:54:26.741403,   20.05018
2023-04-12 09:54:26.742403,   20.03150
2023-04-12 09:54:26.743403,   20.00659
2023-04-12 09:54:26.744403,   19.97857
2023-04-12 09:54:26.745403,   19.95055
2023-04-12 09:54:26.746403,   19.91941
2023-04-12 09:54:26.747403,   19.88828
2023-04-12 09:54:26.748403,   19.85714
2023-04-12 09:54:26.749403,   19.82289
2023-04-12 09:54:26.750403,   19.79176
2023-04-12 09:54:26.751403,   19.75440
2023-04-12 09:54:26.752403,   19.72015
2023-04-12 09:54:26.753403,   19.68590
2023-04-12 09:54:26.754403,   19.65165
2023-04-12 09:54:26.755403,   19.62051
2023-04-12 09:54:26.756403,   19.58938
2023-04-12 09:54:26.757403,   19.55824
2023-04-12 09:54:26.758403,   19.53022
2023-04-12 09:54:26.759403,   19.50531
2023-04-12 09:54:26.760403,   19.48040
2023-04-12 09:54:26.761403,   19.45861
2023-04-12 09:54:26.762403,   19.43993
2023-04-12 09:54:26.763403,   19.42436
2023-04-12 09:54:26.764403,   19.41190
2023-04-12 09:54:26.765403,   19.40256
2023-04-12 09:54:26.766403,   19.40256
2023-04-12 09:54:26.767403,   19.40256
2023-04-12 09:54:26.768403,   19.40256
2023-04-12 09:54:26.769403,   19.40256
2023-04-12 09:54:26.770403,   19.40256
2023-04-12 09:54:26.771403,   19.41190
2023-04-12 09:54:26.772403,   19.42436
2023-04-12 09:54:26.773403,   19.43993
2023-04-12 09:54:26.774403,   19.45861
2023-04-12 09:54:26.775403,   19.48040
2023-04-12 09:54:26.776403,   19.50220
2023-04-12 09:54:26.777403,   19.53022
2023-04-12 09:54:26.778403,   19.55824
2023-04-12 09:54:26.779403,   19.58938
2023-04-12 09:54:26.780403,   19.62051
2023-04-12 09:54:26.781403,   19.65165
2023-04-12 09:54:26.782403,   19.68590
2023-04-12 09:54:26.783403,   19.72015
2023-04-12 09:54:26.784403,   19.75128
2023-04-12 09:54:26.785403,   19.78553
