# Data acquisition time,Epoch time (ms),Distance
2023-04-20 06:13:07.934182,1681938787934.18,5.9033
2023-04-20 06:13:07.935182,1681938787935.18,5.9967
2023-04-20 06:13:07.936182,1681938787936.18,6.087
2023-04-20 06:13:07.937182,1681938787937.18,6.17418
2023-04-20 06:13:07.938182,1681938787938.18,6.26447
2023-04-20 06:13:07.939182,1681938787939.18,6.35165
2023-04-20 06:13:07.940182,1681938787940.18,6.44194
2023-04-20 06:13:07.941182,1681938787941.18,6.52601
2023-04-20 06:13:07.942182,1681938787942.18,6.60696
2023-04-20 06:13:07.943182,1681938787943.18,6.69414
2023-04-20 06:13:07.944182,1681938787944.18,6.77821
2023-04-20 06:13:07.945182,1681938787945.18,6.86227
2023-04-20 06:13:07.946182,1681938787946.18,6.95256
2023-04-20 06:13:07.947182,1681938787947.18,7.03663
2023-04-20 06:13:07.948182,1681938787948.18,7.1207
2023-04-20 06:13:07.949182,1681938787949.18,7.20476
2023-04-20 06:13:07.950182,1681938787950.18,7.28571
2023-04-20 06:13:07.951182,1681938787951.18,7.36355
2023-04-20 06:13:07.952182,1681938787952.18,7.44762
2023-04-20 06:13:07.953182,1681938787953.18,7.52546
2023-04-20 06:13:07.954182,1681938787954.18,7.60018
2023-04-20 06:13:07.955182,1681938787955.18,7.68114
2023-04-20 06:13:07.956182,1681938787956.18,7.75586
2023-04-20 06:13:07.957182,1681938787957.18,7.82747
2023-04-20 06:13:07.958182,1681938787958.18,7.9022
2023-04-20 06:13:07.959182,1681938787959.18,7.97381
2023-04-20 06:13:07.960182,1681938787960.18,8.03919
2023-04-20 06:13:07.961182,1681938787961.18,8.10769
2023-04-20 06:13:07.962182,1681938787962.18,8.1793
2023-04-20 06:13:07.963182,1681938787963.18,8.24469
2023-04-20 06:13:07.964182,1681938787964.18,8.31319
2023-04-20 06:13:07.965182,1681938787965.18,8.37857
2023-04-20 06:13:07.966182,1681938787966.18,8.44396
2023-04-20 06:13:07.967182,1681938787967.18,8.50311
2023-04-20 06:13:07.968182,1681938787968.18,8.56538
2023-04-20 06:13:07.969182,1681938787969.18,8.62454
2023-04-20 06:13:07.970182,1681938787970.18,8.68059
2023-04-20 06:13:07.971182,1681938787971.18,8.73663
2023-04-20 06:13:07.972182,1681938787972.18,8.78956
2023-04-20 06:13:07.973182,1681938787973.18,8.8456
2023-04-20 06:13:07.974182,1681938787974.18,8.89542
2023-04-20 06:13:07.975182,1681938787975.18,8.94212
2023-04-20 06:13:07.976182,1681938787976.18,8.99194
2023-04-20 06:13:07.977182,1681938787977.18,9.03864
2023-04-20 06:13:07.978182,1681938787978.18,9.08535
2023-04-20 06:13:07.979182,1681938787979.18,9.12894
2023-04-20 06:13:07.980182,1681938787980.18,9.17253
2023-04-20 06:13:07.981182,1681938787981.18,9.213
2023-04-20 06:13:07.982182,1681938787982.18,9.25659
2023-04-20 06:13:07.983182,1681938787983.18,9.29707
2023-04-20 06:13:07.984182,1681938787984.18,9.33755
2023-04-20 06:13:07.985182,1681938787985.18,9.37179
2023-04-20 06:13:07.986182,1681938787986.18,9.40916
2023-04-20 06:13:07.987182,1681938787987.18,9.44652
2023-04-20 06:13:07.988182,1681938787988.18,9.48388
2023-04-20 06:13:07.989182,1681938787989.18,9.51813
2023-04-20 06:13:07.990182,1681938787990.18,9.54927
2023-04-20 06:13:07.991182,1681938787991.18,9.5804
2023-04-20 06:13:07.992182,1681938787992.18,9.60842
2023-04-20 06:13:07.993182,1681938787993.18,9.63645
2023-04-20 06:13:07.994182,1681938787994.18,9.66447
2023-04-20 06:13:07.995182,1681938787995.18,9.69249
2023-04-20 06:13:07.996182,1681938787996.18,9.71429
2023-04-20 06:13:07.997182,1681938787997.18,9.73608
2023-04-20 06:13:07.998182,1681938787998.18,9.75788
2023-04-20 06:13:07.999182,1681938787999.18,9.77656
2023-04-20 06:13:08.000182,1681938788000.18,9.79524
2023-04-20 06:13:08.001182,1681938788001.18,9.81081
2023-04-20 06:13:08.002182,1681938788002.18,9.82637
2023-04-20 06:13:08.003182,1681938788003.18,9.84194
2023-04-20 06:13:08.004182,1681938788004.18,9.8544
2023-04-20 06:13:08.005182,1681938788005.18,9.86996
2023-04-20 06:13:08.006182,1681938788006.18,9.8793
2023-04-20 06:13:08.007182,1681938788007.18,9.88864
2023-04-20 06:13:08.008182,1681938788008.18,9.89799
2023-04-20 06:13:08.009182,1681938788009.18,9.90421
2023-04-20 06:13:08.010182,1681938788010.18,9.90733
2023-04-20 06:13:08.011182,1681938788011.18,9.91044
2023-04-20 06:13:08.012182,1681938788012.18,9.91044
2023-04-20 06:13:08.013182,1681938788013.18,9.91044
2023-04-20 06:13:08.014182,1681938788014.18,9.91044
2023-04-20 06:13:08.015182,1681938788015.18,9.91044
2023-04-20 06:13:08.016182,1681938788016.18,9.91044
2023-04-20 06:13:08.017182,1681938788017.18,9.90421
2023-04-20 06:13:08.018182,1681938788018.18,9.89799
