field.image_seq,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,%time,field.header.seq,field.header.stamp,field.header.frame_id,field.transforms0.fiducial_id,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms0.image_error,field.transforms0.object_error,field.transforms0.fiducial_area
195,0.0,0.0,0.0,1678317305779487457,194,1678248324354054450,camera_1,0,0.7039999699416499,0.7062697251640424,0.030352068424754526,0.06816061605651114,0.0035622267751023173,0.0006519879667418126,10662.939653333397
196,1.4897118264495246e-05,-2.97203921290623e-05,0.000132435419379906,1678317305786444130,195,1678248324360706567,camera_1,0,0.7040834907246569,0.7061265038175983,0.030493380812701226,0.06871646398010371,0.003073522530030459,0.0005626755254587192,10660.25360554294
197,-6.390421031407523e-05,8.119091814617896e-05,-0.0008281554093407806,1678317305792901025,196,1678248324367388725,camera_1,0,0.7037573545196114,0.7063354714342954,0.031168420215574782,0.06960113026751154,0.0019009520183317363,0.00034784705459290266,10664.94049929187
198,4.851332156549648e-05,-7.779375372501951e-05,0.0005520019154605649,1678317305798612721,197,1678248324373312234,camera_1,0,0.7039163340282357,0.7062461771718458,0.03183573982000796,0.06859021496187255,0.006990323483478278,0.001280006107337557,10655.7388244191
199,6.441170175969235e-05,-7.062816907787983e-05,0.0005438475903170037,1678317305805607248,198,1678248324379970550,camera_1,0,0.7041939540031601,0.7062511811535004,0.030960780167946875,0.06604221646850683,0.0033047866309061646,0.0006048095651036613,10663.293108743963
200,0.00011035051232216597,-0.00018951450608101217,0.0012377379846797432,1678317305813093103,199,1678248324387351512,camera_1,0,0.7040600202444621,0.7061765842560312,0.03081589358533918,0.06829714814243107,0.003163230023346841,0.0005795241249620332,10652.0692792827
201,2.749094121476392e-05,-3.0370851657468556e-05,-8.786623151646467e-05,1678317305819406056,200,1678248324394069433,camera_1,0,0.7039869892546067,0.7061600050143068,0.03184539027531524,0.06874763557127901,0.0050809867680072784,0.0009300039064308568,10660.439438465517
202,6.802182594525807e-05,-0.00010850290344133207,0.0008606572765503806,1678317305826211525,201,1678248324400712728,camera_1,0,0.7041362151791137,0.7061366230788538,0.03188579165059265,0.06742815666203948,0.0036368870059959595,0.0006659598941260275,10656.21505743521
203,2.113895363917151e-05,5.5732419623366614e-05,-0.00029010846477683927,1678317305832026865,202,1678248324406766891,camera_1,0,0.7039532467443812,0.7061893946512129,0.031153881342934973,0.06910717008725108,0.003633842396084219,0.0006650983574746638,10661.941133590528
204,0.0001517527465114965,-0.0002591450804917961,0.0017113137742081896,1678317305839622160,203,1678248324414059638,camera_1,0,0.7041744938574573,0.7060808624062154,0.03131884909396608,0.06787656175527981,0.008374357887078077,0.00153451498329852,10648.77909744321
205,8.978432055495311e-06,7.237801962783896e-05,-0.0007525991766672568,1678317305846577855,204,1678248324420752286,camera_1,0,0.7039865272013833,0.7061094343188665,0.03198894739384755,0.06920363812300538,0.0035473775351420045,0.0006490648438181402,10664.452225992922
206,0.000122972130580129,-0.00015785306733406834,0.000974746795801007,1678317305853087479,205,1678248324427378654,camera_1,0,0.7040788956245414,0.7062548536744926,0.02885374640808524,0.06815021434716922,0.0030158785521052773,0.0005524011919711674,10656.581735190235
207,-1.981911828632943e-05,0.00012686417052293342,-0.0011041950409329537,1678317305858636587,206,1678248324433294773,camera_1,0,0.703859751029089,0.7060825362796551,0.034307412230311085,0.06965561218034014,0.003045838617254049,0.0005572251508210312,10663.38099046261
208,8.869510061856878e-05,-0.00014666633212290225,0.0010361375231671133,1678317305866232161,207,1678248324440706729,camera_1,0,0.7040155552387992,0.7061464457650823,0.032479676849023184,0.06829616172911912,0.004843704868108034,0.0008872305495019117,10651.868913936543
209,-6.233671444186295e-05,0.00011298946594417991,-0.0009458429345494679,1678317305872791861,208,1678248324447372436,camera_1,0,0.7037999701483105,0.7060929942179628,0.0322013423282921,0.07114322938836669,0.0022429783712141216,0.0004105566892248328,10660.600246416638
210,8.317696756729442e-05,-0.00022592353061851034,0.001609084181248388,1678317305879344298,209,1678248324454033136,camera_1,0,0.7040600492241982,0.7062704630688452,0.029952756193530224,0.06770755112503607,0.004336954210884869,0.0007946467469485656,10651.538804324926
211,-5.322420593323329e-05,5.0239083695724496e-05,-0.0007412734438032587,1678317305885268169,210,1678248324459937572,camera_1,0,0.7038667498543739,0.7061689179116355,0.031148014586806463,0.07019158790232931,0.0020315140136517584,0.00037182019796298035,10662.659749244107
212,3.607300378677403e-05,4.926796488530227e-05,-0.00027197435848735907,1678317305893355351,211,1678248324467366695,camera_1,0,0.7041578330840611,0.7062609495922805,0.02704474379031087,0.0680132268068959,0.0034236923092976213,0.0006264775050978756,10668.761514418296
213,3.1357311288837675e-05,7.025375162028613e-05,-0.0005602174418011252,1678317305899905483,212,1678248324474206209,camera_1,0,0.7040100329688185,0.7060544492909532,0.03196665713744134,0.06953503395518937,0.0026544973370619123,0.00048581450259976974,10662.061422442437
214,0.00013584376614469984,-0.00017043874844346885,0.0012638229710817406,1678317305905758816,213,1678248324480567455,camera_1,0,0.7043533374098366,0.7061136091327191,0.029820566233620206,0.06633762813589962,0.005093853629659861,0.0009327770881605664,10657.928165742664
215,0.00012855547340759332,-0.00012089234374107471,0.0006306923978711687,1678317305912666112,214,1678248324486642837,camera_1,0,0.7039832984145755,0.7061578650402262,0.031990431565166864,0.0687400718899733,0.006501750787720084,0.0011906747102169676,10654.483525684103
