field.image_seq,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,%time,field.header.seq,field.header.stamp,field.header.frame_id,field.transforms0.fiducial_id,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms0.image_error,field.transforms0.object_error,field.transforms0.fiducial_area
179,0.0,0.0,0.0,1678317119498025067,179,1677825034870501995,camera_1,0,0.7039368175833797,0.7062321640627842,0.03610733321999155,0.06637279398609794,0.0034804932656697925,0.0006365725141357541,10664.881819907225
180,-2.2385228683446945e-05,6.8640180908075e-05,-0.00017251712578270073,1678317119502811655,180,1677825034876345157,camera_1,0,0.7038883257641458,0.7060985761673628,0.03470415085683816,0.06900469187436811,0.0032960835960693657,0.0006031488054263505,10661.301590561512
181,6.640600251946183e-05,-0.00018964711758989727,0.0016630361991181175,1678317119510754126,181,1677825034883761644,camera_1,0,0.7041914960707545,0.7062712097280425,0.03411580865169273,0.06427617576490574,0.006686621985863893,0.0012236999467177944,10659.189551701309
182,3.0638017750828084e-05,-1.465930255867276e-05,0.00045772218958273214,1678317119518784596,182,1677825034890496969,camera_1,0,0.7038434353224087,0.7063149700423449,0.03367814421880785,0.06774484666458855,0.004547352727968246,0.0008322283595223014,10660.752089198912
183,4.862094566353281e-05,-5.6015968424028006e-05,0.0003976189180714407,1678317119522743644,183,1677825034896349191,camera_1,0,0.7038727592947067,0.7062128272688961,0.034905200581781815,0.06788378522205238,0.003396115789655596,0.0006215551872633809,10659.32892438886
184,7.760912805847286e-05,3.408822924139132e-05,-0.00036907095240179544,1678317119529802982,184,1677825034903126478,camera_1,0,0.7038681379459806,0.7061183077799704,0.034351459976479225,0.06918494778413307,0.003169419476762414,0.000579904790613755,10662.761355633262
185,9.743999609375387e-05,-3.408206972643768e-06,-3.421071236919815e-05,1678317119537738049,185,1677825034910499572,camera_1,0,0.7040540005899686,0.7062455480088639,0.034741851840322316,0.0657129660084319,0.00415496074128896,0.0007598384181122079,10668.52353097382
186,0.00016763934000291192,-0.00016624196751363618,0.0014770984853558211,1678317119544664341,186,1677825034917077779,camera_1,0,0.7040571378057943,0.7062420144181006,0.033617512057240624,0.0662995223094224,0.003503789252135903,0.0006415233708542402,10656.257913698675
187,4.953848309199871e-05,5.8088754450902336e-05,-0.00026429169039232647,1678317119550786768,187,1677825034923938274,camera_1,0,0.7038659805582852,0.7062918942802313,0.03471273547347626,0.06722698478077767,0.002200111746788025,0.0004024083123385196,10666.618690301546
188,7.970825246621238e-05,-0.00010800578774178282,0.0010810833776178086,1678317119557551239,188,1677825034930506706,camera_1,0,0.7040743772511442,0.7062439657046781,0.03335927655324171,0.06622605885893723,0.004086848173756152,0.000748014180802899,10659.961076191508
189,8.776315568156945e-06,1.8640175242168322e-05,7.668911264246958e-06,1678317119563383130,189,1677825034936291694,camera_1,0,0.7038729619391038,0.7063514196752618,0.034614660684626763,0.06657590134202923,0.0030875058146193624,0.0005647185754789325,10666.213265242288
190,0.00011077986982419019,-0.0001984009048742741,0.0019143733017683573,1678317119570295035,190,1677825034943076372,camera_1,0,0.7041550587241161,0.7064218383754394,0.028520007855883163,0.06573012012313348,0.008080620900727808,0.001479638961502846,10659.711719778012
191,4.44962929592313e-05,1.159085172675045e-06,0.0002440391056750535,1678317119578460716,191,1677825034950578927,camera_1,0,0.7039401257699003,0.706411965130101,0.033748392315733323,0.06566186768733659,0.0072753254789859065,0.00133063611475575,10667.670033357805
192,6.192067438476334e-05,-2.563518081311056e-06,0.0002864662785380112,1678317119585000370,192,1677825034957170009,camera_1,0,0.7039089286626279,0.706295615419116,0.03318654019423786,0.06750835014055567,0.004974343697540462,0.0009102180941939551,10663.307652567048
193,7.029602613561892e-06,0.00014604778189225565,-0.0012206109511012642,1678317119591377157,193,1677825034963759183,camera_1,0,0.7038218792967393,0.7062510734593533,0.0364623316793068,0.06719138210533718,0.005382216942962259,0.0009836135573508577,10672.16040625644
194,2.8197019605699647e-05,8.307410547203631e-05,-0.0006282143881519708,1678317119597263244,194,1677825034969747304,camera_1,0,0.7039136157174544,0.7061587966157352,0.03688836905492381,0.06696733381481472,0.0031644537230022256,0.0005785849548917037,10667.401825492963
195,5.6893084142833894e-05,2.3690105311335863e-06,0.00015108556882603708,1678317119604418892,195,1677825034976616382,camera_1,0,0.7039449695317473,0.7063285679732151,0.032517428337286096,0.06711222534072414,0.005204763438086957,0.0009522077151750348,10666.18104686088
196,0.00011145258893295595,-0.00015268002265744762,0.0012516899151080452,1678317119610994374,196,1677825034983732461,camera_1,0,0.7039161145462088,0.706297496037236,0.03570867075164804,0.06611234080600925,0.002686560095753521,0.0004917745596664329,10655.954070650045
197,4.825101536089227e-05,-1.913474955683725e-05,0.00029445359277735506,1678317119617417605,197,1677825034989924907,camera_1,0,0.7040255919215828,0.7061558260780401,0.0350352800828635,0.06681649770095144,0.0024534271215088665,0.00044885840615782764,10662.755437282265
198,0.00010030525052161232,-0.00019503477998550345,0.0018003479077299822,1678317119623704297,198,1677825034996572017,camera_1,0,0.7041196636135596,0.7062841863287407,0.03349215026371464,0.06524127010864478,0.0037723412970080967,0.0006906749088932787,10656.475874980566
199,6.886918382406626e-05,-7.500607362637135e-05,0.000995750280507135,1678317119629742148,199,1677825035003214836,camera_1,0,0.7040830065934026,0.7062846915755324,0.03258680651258936,0.06608444835027914,0.003414947830606252,0.0006250112351122513,10661.928222855204
200,4.6780138513224934e-05,2.3040508211669142e-05,-0.00011133358187231934,1678317119636450188,200,1677825035009919881,camera_1,0,0.7038079180997334,0.7062478082824676,0.035622955952608136,0.0678192651503119,0.003866512444801629,0.000707351443443837,10662.701150066912
201,0.00010292626880555045,-7.881049028318765e-05,0.0008064633118136655,1678317119643069390,201,1677825035016564369,camera_1,0,0.703960241926209,0.7061303874774985,0.035110210412625464,0.06772833079924931,0.0035504020634107287,0.0006499811164095579,10656.199778720036
202,5.894878323038644e-05,7.338484111307775e-05,-0.0005460723298700287,1678317119650016006,202,1677825035023276329,camera_1,0,0.7039058252777501,0.7062293541366396,0.03465610938544439,0.0674955004282401,0.007626964128576217,0.0013946209947079042,10668.246959297452
203,5.430629214078775e-05,2.6764512349952696e-05,-0.00028108587922259787,1678317119658316758,203,1677825035029927730,camera_1,0,0.7039028159935147,0.7060375010072321,0.03675151104460031,0.0684192899977915,0.0032524320413358514,0.0005950331883153871,10661.016982762376
204,3.8401470828675066e-05,4.019387871784241e-05,-0.00013989736751263138,1678317119664142433,204,1677825035037101984,camera_1,0,0.7037827034214377,0.7062939822501103,0.035432931943760064,0.06769951503491446,0.0034753383370116357,0.0006357491301344851,10663.496594786524
