time,time_diff
1716805027.9637723,0.003711091
1716805027.9800317,0.003028478
1716805027.9985447,0.002158511
1716805028.0143437,0.002389843
1716805028.0299778,0.002488898
1716805028.0474553,0.001829264
1716805028.0638733,0.002193675
1716805028.0804913,0.003277037
1716805028.102233,0.002414247
1716805028.1149786,0.002353951
1716805028.1306446,0.002613681
1716805028.149483,0.002417063
1716805028.1657104,0.0012166
1716805028.1832194,0.001055372
1716805028.198525,0.002217818
1716805028.2147572,0.002970534
1716805028.23017,0.002182956
1716805028.2482526,0.003305118
1716805028.272956,4.4826e-05
1716805028.280881,6.138e-06
1716805028.2975507,0.002465454
1716805028.3153365,0.001187621
1716805028.3305905,0.0028962
1716805028.3472486,0.00151511
1716805028.3685188,0.002035386
1716805028.3830824,0.001862467
1716805028.3972034,0.002283439
1716805028.4144006,0.002895216
1716805028.4301233,0.002452967
1716805028.4477637,0.00316347
1716805028.4641895,0.002978589
1716805028.4806886,0.002802205
1716805028.4971223,0.002546651
1716805028.5162895,0.00253634
1716805028.5309348,0.002982249
1716805028.5467224,0.003082128
1716805028.5660882,0.00222309
1716805028.581458,0.000873869
1716805028.5978115,0.002821565
1716805028.6140387,0.002266294
1716805028.6316135,0.002544384
1716805028.647656,0.00291133
1716805028.6643264,0.003168587
1716805028.6821747,0.00234752
1716805028.7013311,0.00125067
1716805028.7150028,0.003251344
1716805028.732959,0.001558772
1716805028.7532988,0.001403819
1716805028.7664814,0.002623526
1716805028.7832036,0.001739728
1716805028.7985132,0.002634519
1716805028.8157387,0.001258952
1716805028.831544,0.001837668
1716805028.848251,0.001927931
1716805028.8693132,0.000679934
1716805028.8827488,0.000874115
1716805028.898782,0.001989676
1716805028.917204,0.002160703
1716805028.9320064,0.001566688
1716805028.9661443,0.000968099
1716805028.97831,0.002804056
1716805028.9858472,0.000460066
1716805029.0112925,0.001412485
1716805029.0294228,0.004513171
1716805029.0451522,0.000505217
1716805029.0778337,0.002096083
1716805029.1008341,0.00255149
1716805029.1164846,0.000641665
1716805029.131215,0.003085032
1716805029.1491306,0.00318495
1716805029.1652858,0.002234308
1716805029.1810708,0.002483228
1716805029.1985743,0.002625738
1716805029.2159376,0.002935013
1716805029.23326,0.003573159
1716805029.248557,0.002510918
1716805029.2664163,0.003115576
1716805029.281086,0.002310279
1716805029.3023179,0.000598258
1716805029.3174279,0.002689993
1716805029.3339179,0.001176317
1716805029.3502223,0.000206994
1716805029.3662784,0.002717523
1716805029.3823092,0.003454017
1716805029.4005697,0.002100104
1716805029.4157255,0.002722266
1716805029.431733,0.00247968
1716805029.4509225,0.002045482
1716805029.4691548,0.000997458
1716805029.4829912,0.002727321
1716805029.500831,0.002028053
1716805029.5170066,0.000873323
1716805029.5319352,0.002424024
1716805029.548644,0.002920388
1716805029.5666194,0.002502654
1716805029.5820773,0.002268822
1716805029.600397,0.001416877
1716805029.6155438,0.00254878
1716805029.6316473,0.002391526
1716805029.6502833,0.001359586
1716805029.6648645,0.002410215
1716805029.6823297,0.002016141
1716805029.6996002,0.00297959
1716805029.7152596,0.002941024
1716805029.7324803,0.002743651
1716805029.751072,0.001810758
1716805029.7654464,0.003076785
1716805029.7817235,0.002960942
1716805029.7987185,0.001708681
1716805029.8160708,0.003060937
1716805029.8318167,0.003474473
1716805029.8487444,0.003148676
1716805029.8650212,0.002160436
1716805029.8823767,0.002436297
1716805029.8991742,0.00251647
1716805029.9173517,0.003064393
1716805029.9321496,0.002520596
1716805029.9494119,0.003288558
1716805029.9651632,0.002932781
1716805029.9824917,0.001073489
1716805030.0003173,0.003317823
1716805030.0165734,0.004404728
1716805030.0382304,0.00282439
1716805030.0538294,0.000328607
1716805030.0669277,0.001958594
1716805030.084568,0.003911578
1716805030.1001816,0.003366584
1716805030.116345,0.001882778
1716805030.1332283,0.002275173
1716805030.1509666,0.001953081
1716805030.1682317,0.001873284
1716805030.1836407,0.002482217
1716805030.200263,0.002930313
1716805030.2183814,0.000985619
1716805030.233196,0.002933579
1716805030.250345,0.001217803
1716805030.2662807,0.003209805
1716805030.2839236,0.001233109
1716805030.2997367,0.003488578
1716805030.3180134,0.001934537
1716805030.332559,0.00289411
1716805030.3494794,0.002386697
1716805030.3657746,0.002593773
1716805030.3832939,0.002209746
1716805030.3996623,0.004086454
1716805030.4171712,0.003981431
1716805030.4328961,0.001969985
1716805030.4497323,0.003020583
1716805030.4668548,0.00241303
1716805030.4837904,0.001309829
1716805030.5015645,0.003300786
1716805030.519118,0.000421759
1716805030.5338798,0.001445766
1716805030.5496082,0.002817792
1716805030.5688643,0.00192588
1716805030.5850077,0.000511458
1716805030.5992618,0.003246234
1716805030.6171641,0.003393021
1716805030.6338277,0.002316766
1716805030.6488092,0.003122581
1716805030.6670315,0.003426839
1716805030.685149,0.002660883
1716805030.7052617,0.000807209
1716805030.7182417,0.002654158
1716805030.735848,0.001018708
1716805030.7543893,0.001610129
1716805030.7688847,0.001645156
1716805030.7856095,0.001473928
1716805030.8019943,0.001309685
1716805030.8171535,0.00231436
1716805030.834573,0.00070099
1716805030.851296,0.00299207
1716805030.8691177,0.002137868
1716805030.883812,0.002848329
1716805030.8996897,0.002885677
1716805030.9163377,0.002433901
1716805030.9337013,0.003188569
1716805030.9526296,0.002442582
1716805030.968582,0.001441136
1716805030.9835753,0.00315543
1716805031.0010157,0.002418105
1716805031.017959,0.002507847
1716805031.0335097,0.002398592
1716805031.051172,0.00275988
1716805031.0679927,0.002415676
1716805031.0831873,0.002687397
1716805031.0999384,0.003098326
1716805031.1162884,0.00237006
1716805031.1336443,0.002941792
1716805031.1525295,0.002087946
1716805031.1672664,0.002068865
1716805031.183741,0.003328071
1716805031.2011287,0.003001298
1716805031.2165189,0.001160603
1716805031.232984,0.002105911
1716805031.2497733,0.002673314
1716805031.2680252,0.00160878
1716805031.284956,0.001100167
1716805031.300343,0.001825573
1716805031.3178372,0.003412727
1716805031.333669,0.003094107
1716805031.3499522,0.002630906
1716805031.3674197,0.003794122
1716805031.3843377,0.00246097
1716805031.4009233,0.003429548
1716805031.4192905,0.003129451
1716805031.4351466,0.002677812
1716805031.4498534,0.003082396
1716805031.4675016,0.003071002
1716805031.485758,0.003647955
1716805031.5028095,0.00246706
1716805031.5203161,0.002529067
1716805031.5341616,0.003047229
1716805031.5523062,0.000929908
1716805031.5692885,0.003027688
1716805031.5849895,0.002693082
1716805031.6033545,0.001680052
1716805031.6189132,3.6795e-05
1716805031.6407833,0.001916181
1716805031.6554012,0.001823762
1716805031.6808121,0.000789428
1716805031.7211552,0.000279618
1716805031.7421255,0.000347459
1716805031.75768,0.00147008
1716805031.7750397,0.001661363
1716805031.7853127,0.002608806
1716805031.8009791,0.002878406
1716805031.8175025,0.003234993
1716805031.8345885,0.002642158
1716805031.8513055,0.002473847
1716805031.86812,0.001062535
1716805031.8837235,0.002764257
1716805031.9009848,0.002819275
1716805031.920687,0.001553776
1716805031.936877,0.000726839
1716805031.9524248,0.001747347
1716805031.9691558,0.001947765
1716805031.9845667,0.002047695
1716805032.00115,0.003456935
1716805032.018067,0.003187794
1716805032.0339274,0.002134571
1716805032.0534356,0.001269883
1716805032.0682232,0.002299753
1716805032.0848596,0.000657833
1716805032.1008818,0.003136033
1716805032.1174238,0.002931783
1716805032.134103,0.002340877
1716805032.1514814,0.002650745
1716805032.1676903,0.002403324
1716805032.1839447,0.003215145
1716805032.200508,0.002615546
1716805032.2168887,0.002683726
1716805032.2349362,0.003764548
1716805032.2502556,0.003354008
1716805032.267394,0.002668988
1716805032.2853694,0.002531099
1716805032.3017085,0.001688388
1716805032.319556,0.002995102
1716805032.3341568,0.00197696
1716805032.3510935,0.002629152
1716805032.418037,0.003149178
1716805032.4222672,0.001799421
1716805032.4254794,0.002835168
1716805032.4289346,0.003283222
1716805032.4359734,0.003036996
1716805032.4515982,0.003454268
1716805032.4701347,0.001057709
1716805032.4855633,0.001909023
1716805032.5044909,0.001864418
1716805032.519589,0.003297653
1716805032.53544,0.003958006
1716805032.5527976,0.002296234
1716805032.5720997,0.000214769
1716805032.58698,0.003169652
1716805032.6040478,0.003200233
1716805032.6244998,0.003104923
1716805032.6372788,0.001899494
1716805032.6519415,0.003616529
1716805032.6692798,0.001557609
1716805032.6859937,0.002464933
1716805032.7015426,0.003173316
1716805032.7183952,0.002915352
1716805032.7352862,0.002832967
1716805032.752881,0.002873284
1716805032.767891,0.002821882
1716805032.7853189,0.003242664
1716805032.801228,0.001309275
1716805032.8179696,0.002826944
1716805032.834726,0.002345031
1716805032.851763,0.002419927
1716805032.869754,0.0025257
1716805032.8843586,0.001933622
1716805032.9034624,0.003820182
1716805032.91823,0.00346319
1716805032.9359381,0.003308664
1716805032.9513018,0.00390923
1716805032.96831,0.002600888
1716805032.9856067,0.003038108
1716805033.0016356,0.003455957
1716805033.019929,0.00419404
1716805033.0342312,0.002454095
1716805033.0521512,0.00338703
1716805033.0680912,0.003228785
1716805033.0852349,0.000923637
1716805033.1024878,0.00151777
1716805033.1183958,0.003088243
1716805033.1349716,0.003512339
1716805033.1521893,0.003357595
1716805033.1685715,0.002815058
1716805033.1867423,0.002351982
1716805033.2032464,0.001747932
1716805033.2194788,0.002285833
1716805033.2365518,0.002951117
1716805033.2516496,0.001995016
1716805033.2704136,0.001110583
1716805033.2873545,0.001113992
1716805033.302595,0.003184078
1716805033.3191633,0.003313719
1716805033.335933,0.001902995
1716805033.3521738,0.002393939
1716805033.3695621,0.00357073
1716805033.3861027,0.002300285
1716805033.4022083,0.002351267
1716805033.419261,0.003592328
1716805033.437269,0.00183907
1716805033.4545991,0.003242134
1716805033.469449,0.003084695
1716805033.4861095,0.002411561
1716805033.501825,0.001035491
1716805033.5226326,0.001893169
1716805033.5359445,0.001954531
1716805033.5570521,0.002256619
1716805033.570378,0.002586249
1716805033.5879614,0.000180573
1716805033.6052139,0.00262329
1716805033.6207104,0.001046687
1716805033.637194,0.00172385
1716805033.6526437,0.003043697
1716805033.670949,0.002857374
1716805033.6880343,0.002697565
1716805033.7027988,0.003264996
1716805033.7204125,0.002537307
1716805033.7395658,0.001676952
1716805033.7548542,4.5599e-05
1716805033.770398,0.001959927
1716805033.7885568,0.00125896
1716805033.8041847,0.002604041
1716805033.8196702,0.001466404
1716805033.839267,0.000376412
1716805033.853965,0.002251289
1716805033.8704486,0.0028284
1716805033.8878243,0.002291816
1716805033.905174,0.001533339
1716805033.9236836,0.000228967
1716805033.93655,0.001212294
1716805033.9537458,0.002349938
1716805033.9691274,0.002217558
1716805033.9857209,0.002071422
1716805034.0025265,0.002402977
1716805034.0211906,0.001701845
1716805034.0375454,0.002156017
1716805034.0554528,0.002500939
1716805034.0700681,0.002012949
1716805034.0862844,0.002625639
1716805034.1052039,0.000957976
1716805034.1208348,0.002938624
1716805034.1359468,0.002925923
1716805034.1530566,0.002030199
1716805034.170562,0.002943106
1716805034.187061,0.002532604
1716805034.2038293,0.00228054
1716805034.22073,0.003163434
1716805034.236776,0.002316589
1716805034.2531106,0.002112603
1716805034.2702062,0.002458786
1716805034.2900681,0.001941129
1716805034.3076265,0.001816305
1716805034.3295183,0.001193768
1716805034.3519444,0.000530642
1716805034.368015,0.000959599
1716805034.3820314,0.000343523
1716805034.41159,0.00095549
1716805034.426424,0.002035515
1716805034.4382505,0.001434187
1716805034.4547465,0.003314043
1716805034.4706078,0.00328794
1716805034.50042,0.000878828
1716805034.5082123,0.000501384
1716805034.5216186,0.001419675
1716805034.5370002,0.001559896
1716805034.5530887,0.002599789
1716805034.5716226,0.002202165
1716805034.5865633,0.002906293
1716805034.6031241,0.003073226
1716805034.622294,0.002304161
1716805034.636699,0.003407947
1716805034.6589954,0.003185244
1716805034.67595,0.002375886
1716805034.6938841,0.000560276
1716805034.7119963,0.002284447
1716805034.7341957,0.000825212
1716805034.746109,5.726e-06
1716805034.7637842,9.6254e-05
1716805034.7835655,0.001383716
1716805034.7950816,0.002979459
1716805034.8111007,0.001237169
1716805034.828946,0.000628096
1716805034.846011,0.000724743
1716805034.8625777,0.000125243
1716805034.8861241,0.001505009
1716805034.9025788,0.000445375
1716805034.9156146,0.000339886
1716805034.9323785,0.00205691
1716805034.9503863,8.4643e-05
1716805034.9565136,0.002253392
1716805034.9749727,0.00264512
1716805034.9946826,0.003320671
1716805035.01271,0.00269421
