time,time_diff
1716798144.6589136,0.004761389
1716798144.6768568,0.005776755
1716798144.6941261,0.005357249
1716798144.7113261,0.005306827
1716798144.7278159,0.004849692
1716798144.7439203,0.004807242
1716798144.7630935,0.004429577
1716798144.7789793,0.00418946
1716798144.795583,0.004479738
1716798144.811518,0.0033578
1716798144.8293836,0.005300072
1716798144.8435104,0.005362141
1716798144.8607094,0.004166564
1716798144.8777437,0.002701595
1716798144.8964367,0.004812711
1716798144.9129589,0.00526044
1716798144.9244163,0.003898384
1716798144.93951,0.003023308
1716798144.9579732,0.002682321
1716798144.9716082,0.002778496
1716798144.9879563,0.003768901
1716798145.0034046,0.004332487
1716798145.020426,0.00437151
1716798145.0506263,0.003831057
1716798145.0579166,0.003017997
1716798145.0802107,0.000913169
1716798145.0946422,0.003693245
1716798145.1078398,0.003197798
1716798145.1253285,6.4121e-05
1716798145.1468518,0.005091788
1716798145.1613247,0.003802
1716798145.179054,0.004614726
1716798145.1965897,0.005326202
1716798145.209656,0.004296175
1716798145.225378,0.00216075
1716798145.2426002,0.00362025
1716798145.260149,0.00132959
1716798145.2772906,0.004319145
1716798145.295993,0.004596209
1716798145.3123813,0.004842178
1716798145.329746,0.004956345
1716798145.345127,0.004441341
1716798145.3625,0.005308694
1716798145.380799,0.004450717
1716798145.3983347,0.002960908
1716798145.4134965,0.004085471
1716798145.4277902,0.003806625
1716798145.448549,0.004156763
1716798145.4647422,0.002003496
1716798145.4812655,0.004221006
1716798145.495719,0.004812594
1716798145.5169566,0.005053759
1716798145.53007,0.00413596
1716798145.5490754,0.006046732
1716798145.56459,0.004910731
1716798145.5793474,0.003458417
1716798145.597703,0.004004479
1716798145.6139512,0.002825777
1716798145.631636,0.003559735
1716798145.6423295,0.003664019
1716798145.6640098,0.003459693
1716798145.6802092,0.003172552
1716798145.6942573,0.003136193
1716798145.7135267,0.004410617
1716798145.729909,0.002976678
1716798145.7449725,0.003960316
1716798145.767968,0.00344517
1716798145.7843134,0.004597234
1716798145.794595,0.002858227
1716798145.817686,0.003482943
1716798145.832945,0.004718775
1716798145.8477297,0.002780529
1716798145.8636272,0.003750478
1716798145.8806863,0.003522053
1716798145.895286,0.003467153
1716798145.9130762,0.001512359
1716798145.9307482,0.003948994
1716798145.9468257,0.003661106
1716798145.9646983,0.005710232
1716798145.981054,0.005454504
1716798145.997044,0.005573833
1716798146.0135465,0.005227203
1716798146.0290992,0.004812814
1716798146.0463443,0.002492739
1716798146.0614479,0.003546855
1716798146.0793924,0.004489587
1716798146.0975342,0.004241263
1716798146.1114173,0.002566611
1716798146.1310208,0.003670638
1716798146.144481,0.002253247
1716798146.1561608,0.001823383
1716798146.1732857,0.002564496
1716798146.1938791,0.004092986
1716798146.2061946,0.004305413
1716798146.2221868,0.003947266
1716798146.2388475,0.004336841
1716798146.2544398,0.003977421
1716798146.2725089,0.002793172
1716798146.2894409,0.003143189
1716798146.3048332,0.003628507
1716798146.3235025,0.004393582
1716798146.339276,0.003402741
1716798146.361493,0.004801335
1716798146.380602,0.004564748
1716798146.3979065,0.004840721
1716798146.418013,0.007022892
