time,cam1_fiducial_id,cam1_trans_x,cam1_trans_y,cam1_trans_z,cam1_rot_x,cam1_rot_y,cam1_rot_z,cam1_rot_w,cam2_fiducial_id,cam2_trans_x,cam2_trans_y,cam2_trans_z,cam2_rot_x,cam2_rot_y,cam2_rot_z,cam2_rot_w,cam3_fiducial_id,cam3_trans_x,cam3_trans_y,cam3_trans_z,cam3_rot_x,cam3_rot_y,cam3_rot_z,cam3_rot_w
1717399903.997417,1,-0.4814006847931567,0.03514531595594958,0.8232582607749234,-0.9547348584601508,-0.016266555915070584,-0.29473458219726784,0.03671886785754216,1,-0.15572368128615913,0.007946564908203488,0.8241286967989007,-0.9954154598300827,-0.03528871799761015,-0.08869393701315396,0.0060128404649480004,1,0.10736130780301777,0.0011483627452232859,0.975005278097413,-0.9986453775837971,-0.037707369589820405,0.03566539117083732,-0.003680214907190669
1717399904.0150867,1,-0.4814006847931567,0.03514531595594958,0.8232582607749234,-0.9547348584601508,-0.016266555915070584,-0.29473458219726784,0.03671886785754216,1,-0.15582673899113403,0.007954775351685164,0.8246365517961873,-0.9955932393029737,-0.03551936619832006,-0.08661212020993388,0.005551316224241804,1,0.10736130780301777,0.0011483627452232859,0.975005278097413,-0.9986453775837971,-0.037707369589820405,0.03566539117083732,-0.003680214907190669
1717399904.0283163,1,-0.4815303794373016,0.035151091376824345,0.8234597189094994,-0.9547612813542382,-0.016136138436064405,-0.29452778916763694,0.03773462695203619,1,-0.15582673899113403,0.007954775351685164,0.8246365517961873,-0.9955932393029737,-0.03551936619832006,-0.08661212020993388,0.005551316224241804,1,0.1074035957649333,0.0011567109025235906,0.9754079745896456,-0.998581215575257,-0.037694329000755325,0.03714537322070779,-0.005908867041941935
1717399904.0445254,1,-0.4815303794373016,0.035151091376824345,0.8234597189094994,-0.9547612813542382,-0.016136138436064405,-0.29452778916763694,0.03773462695203619,1,-0.1557224132038499,0.007946922162151133,0.8241287583351361,-0.995456569589179,-0.035449244896301454,-0.08818940346856889,0.005674347000665821,1,0.1074035957649333,0.0011567109025235906,0.9754079745896456,-0.998581215575257,-0.037694329000755325,0.03714537322070779,-0.005908867041941935
1717399904.0605052,1,-0.48085105383442334,0.035100088834263396,0.8223024415201318,-0.9542349013863204,-0.016097780655041367,-0.2962952389788331,0.037225606680051225,1,-0.1557224132038499,0.007946922162151133,0.8241287583351361,-0.995456569589179,-0.035449244896301454,-0.08818940346856889,0.005674347000665821,1,0.10740846840786236,0.0011512947165921682,0.975300920529304,-0.9985656774004686,-0.03789950118614741,0.03733249050262671,-0.006041595853384907
1717399904.0783234,1,-0.48085105383442334,0.035100088834263396,0.8223024415201318,-0.9542349013863204,-0.016097780655041367,-0.2962952389788331,0.037225606680051225,1,-0.15570652667001858,0.007950038117193465,0.8241459068443997,-0.9956161391680551,-0.03527177946243456,-0.08641415586161605,0.006082653070322154,1,0.10740846840786236,0.0011512947165921682,0.975300920529304,-0.9985656774004686,-0.03789950118614741,0.03733249050262671,-0.006041595853384907
1717399904.0940053,1,-0.4812484780311783,0.03513670423166923,0.823024957170575,-0.9545291949793016,-0.01631080568391708,-0.2953336571264729,0.03722908162191296,1,-0.15570652667001858,0.007950038117193465,0.8241459068443997,-0.9956161391680551,-0.03527177946243456,-0.08641415586161605,0.006082653070322154,1,0.10752557416109562,0.0011554255986633358,0.9762504264353301,-0.9987140217322101,-0.03768960905558809,0.0330394328808256,-0.007628370705795282
1717399904.1104414,1,-0.4812484780311783,0.03513670423166923,0.823024957170575,-0.9545291949793016,-0.01631080568391708,-0.2953336571264729,0.03722908162191296,1,-0.1557445642003963,0.007956810555309187,0.8243556019894795,-0.9957028798762128,-0.035250736043195216,-0.08542521086291709,0.00597444253931875,1,0.10752557416109562,0.0011554255986633358,0.9762504264353301,-0.9987140217322101,-0.03768960905558809,0.0330394328808256,-0.007628370705795282
1717399904.1305308,1,-0.48135928979056786,0.03513843105851472,0.823203462181076,-0.9547845765315556,-0.016329151134235633,-0.2945872757187876,0.03658016163546184,1,-0.1557445642003963,0.007956810555309187,0.8243556019894795,-0.9957028798762128,-0.035250736043195216,-0.08542521086291709,0.00597444253931875,1,0.10746381414318805,0.0011531087448673448,0.9756997732218476,-0.9985953419908787,-0.03761489276887929,0.03643764348919419,-0.008047417788332553
1717399904.1445282,1,-0.48135928979056786,0.03513843105851472,0.823203462181076,-0.9547845765315556,-0.016329151134235633,-0.2945872757187876,0.03658016163546184,1,-0.15572644135656508,0.007949559223379435,0.8242086084699062,-0.9955460052310539,-0.03520586674908239,-0.08735014670128666,0.004318597712252748,1,0.10746381414318805,0.0011531087448673448,0.9756997732218476,-0.9985953419908787,-0.03761489276887929,0.03643764348919419,-0.008047417788332553
1717399904.1604002,1,-0.4812085192434544,0.03512625569584084,0.8229371800189171,-0.9544427181174134,-0.016148475780684037,-0.2957403369634668,0.03627640631787346,1,-0.15572644135656508,0.007949559223379435,0.8242086084699062,-0.9955460052310539,-0.03520586674908239,-0.08735014670128666,0.004318597712252748,1,0.1074050907897334,0.0011539706951992756,0.9753065622498479,-0.9985952867042691,-0.03759206123250175,0.03672915861173591,-0.006727496710124364
