time,cam1_timestamp,cam1_data,cam2_timestamp,cam2_data,cam3_timestamp,cam3_data
1717386374.3435562,1717386374.3143907,"time: 1717386374.3143907, id: 2, trans: (-0.8623205469983795, -0.10127047592574137, 1.2282004952116685), rot: (-0.889354436759601, 0.43069841243460016, 0.02811831605422515, 0.15085398120236226)",1717386374.324003,"time: 1717386374.324003, id: 2, trans: (-0.37408975821117124, -0.027955923690590846, 1.0008982312889532), rot: (-0.9623821313914828, 0.26656520882825135, 0.03162787530147671, 0.04199166732402714)",1717386374.3210044,"time: 1717386374.3210044, id: 2, trans: (0.02234692311849199, -0.1504042662098553, 0.9075645410270908), rot: (-0.9964544758083347, 0.0476364095811656, 0.029377372611961196, 0.06281894699985156)"
1717386374.3496556,1717386374.3325036,"time: 1717386374.3325036, id: 2, trans: (-0.8642637191813402, -0.1025592949855744, 1.2258557355115294), rot: (-0.8886546466582438, 0.43178617868592734, 0.027790142993053928, 0.15192538570279185)",1717386374.339282,"time: 1717386374.339282, id: 2, trans: (-0.37465265396461755, -0.025407280336566133, 0.9986488009428078), rot: (-0.9620941596964246, 0.2676971140424468, 0.031957206518796834, 0.04113173911823576)",1717386374.3366575,"time: 1717386374.3366575, id: 2, trans: (0.02234692311849199, -0.1504042662098553, 0.9075645410270908), rot: (-0.9964544758083347, 0.0476364095811656, 0.029377372611961196, 0.06281894699985156)"
1717386374.36425,1717386374.348811,"time: 1717386374.348811, id: 2, trans: (-0.8642637191813402, -0.1025592949855744, 1.2258557355115294), rot: (-0.8886546466582438, 0.43178617868592734, 0.027790142993053928, 0.15192538570279185)",1717386374.354812,"time: 1717386374.354812, id: 2, trans: (-0.37465265396461755, -0.025407280336566133, 0.9986488009428078), rot: (-0.9620941596964246, 0.2676971140424468, 0.031957206518796834, 0.04113173911823576)",1717386374.3548942,"time: 1717386374.3548942, id: 2, trans: (0.023040948454608183, -0.1499686744468004, 0.9077559186940389), rot: (-0.9965001063009223, 0.04707979734316587, 0.029355894044676742, 0.06252409382961564)"
1717386374.380206,1717386374.3641243,"time: 1717386374.3641243, id: 2, trans: (-0.8640493719580293, -0.10346750152414236, 1.2245380043010867), rot: (-0.8885453566112599, 0.43191808553022304, 0.027501649064561956, 0.152241833722553)",1717386374.3702867,"time: 1717386374.3702867, id: 2, trans: (-0.3735926429166128, -0.026112583678307922, 1.0005083658958684), rot: (-0.9624451373635604, 0.26649931328028525, 0.03157668172607617, 0.040992520751277635)",1717386374.3710325,"time: 1717386374.3710325, id: 2, trans: (0.023040948454608183, -0.1499686744468004, 0.9077559186940389), rot: (-0.9965001063009223, 0.04707979734316587, 0.029355894044676742, 0.06252409382961564)"
1717386374.4001153,1717386374.3799021,"time: 1717386374.3799021, id: 2, trans: (-0.8640493719580293, -0.10346750152414236, 1.2245380043010867), rot: (-0.8885453566112599, 0.43191808553022304, 0.027501649064561956, 0.152241833722553)",1717386374.3877995,"time: 1717386374.3877995, id: 2, trans: (-0.3735926429166128, -0.026112583678307922, 1.0005083658958684), rot: (-0.9624451373635604, 0.26649931328028525, 0.03157668172607617, 0.040992520751277635)",1717386374.3869977,"time: 1717386374.3869977, id: 2, trans: (0.02544480775117503, -0.15136624211548388, 0.9070660407218052), rot: (-0.9965446812437878, 0.04505887994784861, 0.029595658152027526, 0.06318617444592403)"
1717386374.413216,1717386374.3965113,"time: 1717386374.3965113, id: 2, trans: (-0.8627298605620973, -0.10129559076579202, 1.2273503548153146), rot: (-0.8891506296074895, 0.4310320890889509, 0.02812103314094301, 0.15110163314572617)",1717386374.4038563,"time: 1717386374.4038563, id: 2, trans: (-0.37167397004480895, -0.022564595192657924, 1.001669308953927), rot: (-0.9628340003208681, 0.265256938512891, 0.03245155249308259, 0.03919618779513529)",1717386374.4031403,"time: 1717386374.4031403, id: 2, trans: (0.02544480775117503, -0.15136624211548388, 0.9070660407218052), rot: (-0.9965446812437878, 0.04505887994784861, 0.029595658152027526, 0.06318617444592403)"
1717386374.4296873,1717386374.413416,"time: 1717386374.413416, id: 2, trans: (-0.8627298605620973, -0.10129559076579202, 1.2273503548153146), rot: (-0.8891506296074895, 0.4310320890889509, 0.02812103314094301, 0.15110163314572617)",1717386374.4205902,"time: 1717386374.4205902, id: 2, trans: (-0.37167397004480895, -0.022564595192657924, 1.001669308953927), rot: (-0.9628340003208681, 0.265256938512891, 0.03245155249308259, 0.03919618779513529)",1717386374.420214,"time: 1717386374.420214, id: 2, trans: (0.021829765113766473, -0.14779249995182728, 0.9084138496466586), rot: (-0.9965188678980949, 0.048110078888766, 0.02945615531359118, 0.06138323180281143)"
1717386374.4516268,1717386374.4299212,"time: 1717386374.4299212, id: 2, trans: (-0.8632267351342422, -0.10379736698436, 1.2254413407731144), rot: (-0.8889089344067991, 0.4313812846093042, 0.027117480274944615, 0.15170937968409653)",1717386374.4372714,"time: 1717386374.4372714, id: 2, trans: (-0.3745278320328464, -0.0244062982325973, 0.999811747092707), rot: (-0.9621896092126285, 0.26741763050986106, 0.03211441335363453, 0.0405910245090292)",1717386374.4368956,"time: 1717386374.4368956, id: 2, trans: (0.021829765113766473, -0.14779249995182728, 0.9084138496466586), rot: (-0.9965188678980949, 0.048110078888766, 0.02945615531359118, 0.06138323180281143)"
1717386374.4638095,1717386374.4466457,"time: 1717386374.4466457, id: 2, trans: (-0.8632267351342422, -0.10379736698436, 1.2254413407731144), rot: (-0.8889089344067991, 0.4313812846093042, 0.027117480274944615, 0.15170937968409653)",1717386374.4542165,"time: 1717386374.4542165, id: 2, trans: (-0.3745278320328464, -0.0244062982325973, 0.999811747092707), rot: (-0.9621896092126285, 0.26741763050986106, 0.03211441335363453, 0.0405910245090292)",1717386374.453408,"time: 1717386374.453408, id: 2, trans: (0.024780378637983182, -0.15143970269865173, 0.9074045133576089), rot: (-0.9965170654470236, 0.04561473403532419, 0.029565456608966496, 0.06323699935356364)"
1717386374.4805872,1717386374.4636912,"time: 1717386374.4636912, id: 2, trans: (-0.8628524269212478, -0.10380313855432625, 1.225961183061044), rot: (-0.8890463334327504, 0.4311381623082241, 0.02719693041061609, 0.1515810970652683)",1717386374.4704647,"time: 1717386374.4704647, id: 2, trans: (-0.3749150301093673, -0.025065570203413032, 0.9995516600898268), rot: (-0.9620970103010464, 0.26767293388881563, 0.03219196055394513, 0.041039260578562546)",1717386374.4702032,"time: 1717386374.4702032, id: 2, trans: (0.024780378637983182, -0.15143970269865173, 0.9074045133576089), rot: (-0.9965170654470236, 0.04561473403532419, 0.029565456608966496, 0.06323699935356364)"
