time,time_diff
1716798306.2380693,0.003947554
1716798306.2541661,0.001202758
1716798306.2727218,0.003861919
1716798306.291678,0.003708076
1716798306.301453,0.003289855
1716798306.323429,0.001531769
1716798306.3398502,0.003257359
1716798306.352633,0.002485938
1716798306.373375,0.003371056
1716798306.3992624,0.002695322
1716798306.416678,0.00184143
1716798306.4233892,7.3827e-05
1716798306.4501894,0.000203315
1716798306.4643948,0.002726655
1716798306.473427,5.9372e-05
1716798306.4898586,0.003672385
1716798306.5068195,0.003992852
1716798306.5251908,0.001829872
1716798306.5402334,0.002924181
1716798306.5591326,0.002451664
1716798306.5756707,0.003902978
1716798306.5900607,0.003880597
1716798306.6034746,0.002724129
1716798306.6287065,0.005460841
1716798306.6396148,0.004138679
1716798306.6528885,0.002113846
1716798306.6778793,0.003157388
1716798306.6897366,0.002395699
1716798306.7080445,0.003632944
1716798306.7232614,0.002932898
1716798306.743867,0.00435869
1716798306.7542067,0.001980874
1716798306.7726645,0.003189166
1716798306.7903423,0.002050099
1716798306.8063786,0.002550962
1716798306.8239772,0.003113039
1716798306.8429887,0.005444289
1716798306.8557432,0.004736833
1716798306.8713968,0.003717512
1716798306.8941934,0.003510333
1716798306.9068024,0.001242573
1716798306.9236403,0.004796896
1716798306.9387019,0.002252609
1716798306.9605846,0.003650719
1716798306.9722075,0.00389328
1716798306.9905474,0.002429167
1716798307.0053573,0.003173301
1716798307.025941,0.003632743
1716798307.0432162,0.005757565
1716798307.0543325,0.002927247
1716798307.0657456,0.003262589
1716798307.081859,0.003534368
1716798307.0991025,0.002687118
1716798307.115656,0.003184547
1716798307.135795,0.003233826
1716798307.1538994,0.001387275
1716798307.169409,0.00112314
1716798307.1814835,0.002524845
1716798307.1984808,0.003422787
1716798307.2158933,0.003919066
1716798307.2314997,0.003507108
1716798307.2493358,0.003244713
1716798307.268142,5.293e-06
1716798307.2877495,0.003103467
1716798307.3061218,0.003384378
1716798307.324098,0.002856991
1716798307.3409278,0.004333502
1716798307.359736,0.001873752
1716798307.3733711,0.003738356
1716798307.3952377,0.000268983
1716798307.407048,0.004542721
1716798307.4226804,0.00305337
1716798307.4433928,0.005190274
1716798307.4558256,0.003406101
1716798307.4741597,0.003953362
1716798307.4914012,0.005657682
1716798307.5076911,0.00387568
1716798307.5252008,0.006316662
1716798307.5369108,0.003324355
1716798307.5593717,0.002327381
1716798307.5727196,0.004585349
1716798307.5917027,0.00344588
1716798307.6084514,0.003109268
1716798307.622814,0.003468164
1716798307.640342,0.003030698
1716798307.6572146,0.001896505
1716798307.6758077,0.004149075
1716798307.6936278,0.002126197
1716798307.7080374,0.00412839
1716798307.7249444,0.003394935
1716798307.740411,0.003473416
1716798307.7575328,0.003963745
1716798307.7760496,0.00323065
1716798307.7923079,0.004119034
1716798307.8069644,0.00380393
1716798307.825214,0.002473548
1716798307.8467233,0.004455968
1716798307.8559325,0.002759613
1716798307.8747883,0.004633514
1716798307.8904781,0.003677008
1716798307.9080715,0.004124616
1716798307.9282587,0.004525278
1716798307.942027,0.003222091
1716798307.9581661,0.001343453
1716798307.9750428,0.004044112
1716798307.9967318,0.00432372
1716798308.0096016,0.003505754
1716798308.0229297,0.005370455
1716798308.0349314,0.002910874
1716798308.0510933,0.002124807
1716798308.065196,0.003397816
1716798308.0830963,0.003890632
1716798308.101992,0.002460381
1716798308.1162784,0.003294818
1716798308.133111,0.002920257
1716798308.1498742,0.003585919
1716798308.1661084,0.003887017
1716798308.181632,0.001506029
1716798308.2005403,0.002354761
1716798308.2156496,0.002364568
1716798308.232853,0.003076394
1716798308.2499034,0.003731548
1716798308.2671685,0.001237519
1716798308.2849188,0.002931391
1716798308.3002427,0.001751177
1716798308.3158438,0.00299617
1716798308.3342574,0.001111644
1716798308.354051,0.002213503
1716798308.3673036,0.002881212
1716798308.3895469,0.00011918
1716798308.4020796,0.002623471
1716798308.4212182,0.000307212
1716798308.435286,0.003364603
1716798308.4514408,0.001633255
1716798308.4693856,0.002980673
1716798308.4843218,0.002318841
1716798308.5030682,0.00174425
1716798308.5176988,0.003441388
1716798308.5402248,0.001873479
1716798308.5523195,0.002902964
1716798308.5714586,0.001545168
1716798308.5886025,0.002342967
1716798308.6078732,0.001954306
1716798308.6252563,0.002047653
1716798308.6409547,0.002458657
1716798308.6546888,0.002493975
1716798308.67452,0.000387991
1716798308.690352,0.00332436
1716798308.7091415,0.002312403
1716798308.7257032,0.003340738
1716798308.7430794,0.004391136
1716798308.758571,0.002702824
1716798308.7742786,0.003358478
1716798308.7896016,0.000211202
1716798308.8071873,0.002915172
1716798308.822488,0.0002195
1716798308.8429222,0.004508893
1716798308.8600764,0.004271132
1716798308.876717,0.002422431
1716798308.8886077,0.001889234
1716798308.908223,0.004089646
1716798308.9260507,0.00491897
1716798308.9432666,0.004349549
