time,time_diff
1716805073.5259109,0.008280064
1716805073.5336547,0.009548477
1716805073.55045,0.008500902
1716805073.568251,0.009500277
1716805073.5860004,0.009744434
1716805073.602724,0.009187722
1716805073.6193626,0.009279729
1716805073.6380913,0.008680501
1716805073.6534667,0.009023051
1716805073.6701376,0.008982603
1716805073.6871798,0.009944549
1716805073.7080626,0.006430104
1716805073.723934,0.007484881
1716805073.7416615,0.007084912
1716805073.7578833,0.007376016
1716805073.7728739,0.007006613
1716805073.7918425,0.006240653
1716805073.8103576,0.007298395
1716805073.8266935,0.008337542
1716805073.848092,0.00801262
1716805073.86928,0.007939154
1716805073.8744223,0.00747632
1716805073.8958669,0.009542085
1716805073.9072626,0.006751471
1716805073.9243898,0.007248275
1716805073.943094,0.00740612
1716805073.9585555,0.006876277
1716805073.9762099,0.006214167
1716805073.9909682,0.005254791
1716805074.0064828,0.005908901
1716805074.0232975,0.00493268
1716805074.04203,0.004382077
1716805074.0608184,0.007449903
1716805074.0746958,0.005471768
1716805074.0916028,0.005391642
1716805074.1097448,0.006714024
1716805074.1248124,0.006308116
1716805074.146525,0.006851692
1716805074.1594057,0.005157856
1716805074.176671,0.004175471
1716805074.1906369,0.005023366
1716805074.2117314,0.005787916
1716805074.2269034,0.006089301
1716805074.2427287,0.006618369
1716805074.25602,0.00540719
1716805074.274814,0.005139241
1716805074.2938402,0.00658553
1716805074.3124337,0.005920559
1716805074.3271394,0.006500101
1716805074.345773,0.005778502
1716805074.364958,0.007654544
1716805074.3792806,0.006500196
1716805074.3976734,0.008235832
1716805074.414978,0.006794143
1716805074.4317877,0.007705767
1716805074.4471314,0.008536043
1716805074.462294,0.007238815
1716805074.4774084,0.006600937
1716805074.4935217,0.006762477
1716805074.511066,0.006794408
1716805074.5275872,0.006839376
1716805074.5445058,0.005668882
1716805074.5598392,0.006045427
1716805074.57654,0.006251573
1716805074.5941167,0.006715406
1716805074.6098614,0.00462392
1716805074.625511,0.006148896
1716805074.6424909,0.007378525
1716805074.656697,0.007166925
1716805074.6758535,0.006717528
1716805074.6922102,0.006677377
1716805074.7084963,0.006973783
