%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq,field.transforms0.fiducial_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms0.image_error,field.transforms0.object_error,field.transforms0.fiducial_area
1685667512220450162,0,1685667512220450162,camera_1,1,0,0.3936386998378356,0.45624953938545554,1.7369033504126232,-0.9830189462329026,-0.07413512222298653,0.11784908868161602,0.1195379742887135,0.004571585275698453,0.005298451043518785,1902.992672990542
1685667512260337591,1,1685667512260337591,camera_1,3,0,0.3963149170166591,0.46208239589183503,1.7492370722188317,-0.9855999905198459,-0.0758197498311466,0.10568237942326168,0.10805211197500927,0.08214650658192113,0.09663850412706983,1895.342944113072
1685667512290527343,2,1685667512290527343,camera_1,5,0,0.393824899924784,0.4607686741531029,1.7387113387885533,-0.9852675183915511,-0.07806294373116367,0.10671062665493966,0.10847550957469522,0.09899126726668328,0.11510951295849171,1916.0407590027903
1685667512310467004,3,1685667512310467004,camera_1,7,0,0.39424724420431345,0.4614896080146732,1.7407730669227048,-0.9864958260214475,-0.07836074350214134,0.09699379506107905,0.10619690597989688,0.11781900038477033,0.1373694781637602,1921.254172533983
1685667512330437660,4,1685667512330437660,camera_1,9,0,0.3942380577038033,0.4611650042658691,1.7405986947765941,-0.9856547047568016,-0.0772129890239745,0.10614497855395356,0.10609524421267243,0.13585795171093196,0.15830709546780605,1914.4835048690454
1685667512360383033,5,1685667512360383033,camera_1,11,0,0.3956869753541787,0.46111361566623194,1.7463501607144183,-0.9843310161739679,-0.07581509307201126,0.10966988191693047,0.11539947686507311,0.04851832491112873,0.05689428231760717,1891.8960283789786
1685667512380283832,6,1685667512380283832,camera_1,13,0,0.3950727092022913,0.45927647333139726,1.7433236985418312,-0.9830534287814656,-0.07407758776081536,0.11468728405806075,0.12233271855038819,0.013550489558838308,0.015830482345172845,1888.267514539883
1685667512410278558,7,1685667512410278558,camera_1,15,0,0.393612736352853,0.4556756363432428,1.7370320643096504,-0.9830489377792352,-0.07601201564270797,0.10573119763223729,0.12906538364837794,0.0365944774239324,0.04246383205635558,1904.7321272189747
1685667512430363416,8,1685667512430363416,camera_1,17,0,0.39368988230063107,0.4551317785696464,1.7377572674614647,-0.9851340849784752,-0.07662054811421179,0.0956741626443376,0.12036021278896536,0.14237575337756425,0.16532885356645327,1920.4507827477064
1685667512450245618,9,1685667512450245618,camera_1,19,0,0.3945373006131136,0.45556431560036625,1.7415046693045628,-0.9859290538079158,-0.07764302964581235,0.09341771455800171,0.11484159269013525,0.1510186751256697,0.1760570098421379,1919.4009841321968
1685667512470315694,10,1685667512470315694,camera_1,21,0,0.39389981657774886,0.45493299649477636,1.7385507243929927,-0.9842577321097243,-0.07745817028806545,0.10098208152012406,0.12263591582285506,0.1275386767811142,0.14819529422688976,1912.6218392315782
1685667512500273466,11,1685667512500273466,camera_1,23,0,0.39370027062590174,0.4558556246326093,1.7373397340415744,-0.9829690385773286,-0.07538431094898551,0.10847702625866146,0.1277568379194892,0.031432288815267384,0.03647701542319159,1902.9346582263242
1685667512520343780,12,1685667512520343780,camera_1,25,0,0.39391898820006405,0.45754447731688475,1.7383306385065886,-0.9835866560512013,-0.07252402110856138,-0.12023315255543819,-0.11332054282803866,0.004199547925963998,0.0048756858991088605,1898.764398423024
1685667512529571294,13,1685667512529571294,camera_1,26,0,0.39551291875538713,0.459936760974267,1.7453126441824993,-0.9835745404122074,-0.07373656196686205,0.11395894255304657,0.11898488262974281,0.022782649961300194,0.026674501748269786,1887.7032176835933
1685667512550369262,14,1685667512550369262,camera_1,28,0,0.39592034925255065,0.46151171880407205,1.747435268326219,-0.9848624021029262,-0.07588084662590586,0.10878457152187475,0.11159777344639064,0.06069914548425004,0.071260207125353,1893.622108764947
1685667512580376386,15,1685667512580376386,camera_1,30,0,0.39416974364613355,0.46113770991024083,1.7402568103672214,-0.9855630631222033,-0.07765331242676958,0.10637375108826562,0.1063956613670986,0.11158004944445565,0.12996972809092705,1914.733566124924
1685667512590373516,16,1685667512590373516,camera_1,31,0,0.3942057769462292,0.46143048346653776,1.7405713231178912,-0.9863895392926675,-0.07843814956413296,0.0976835378839923,0.10649441249859301,0.11305832688231021,0.1317846959268545,1920.9153626756738
1685667512620413541,17,1685667512620413541,camera_1,33,0,0.3942038795285228,0.4611900465643346,1.740472672411453,-0.9857726574476232,-0.07798109692867786,0.10307850521450797,0.10745249235450006,0.12445991148706526,0.14502992575101178,1916.1345177311453
1685667512640187501,18,1685667512640187501,camera_1,35,0,0.3949314789612921,0.46088425247840653,1.743234886928764,-0.9850607932076674,-0.07617138930323461,0.1135232821523403,0.10471684461468692,0.08675546373706311,0.10134956311793361,1904.0714443693873
1685667512670377492,19,1685667512670377492,camera_1,37,0,0.3950875514769006,0.4594031485297622,1.743468500286364,-0.9832583719437477,-0.07406929849745623,0.11292604220355812,0.122329154394469,0.020418576314114034,0.023860800934352864,1889.4961002320038
1685667512690358638,20,1685667512690358638,camera_1,39,0,0.3932669560086075,0.45577257309873354,1.735358945191571,-0.9835949774343828,-0.07418063202576658,0.11345461443866194,0.11902186631324757,0.011475119565147907,0.01327791927172719,1911.0235827011065
1685667512720255136,21,1685667512720255136,camera_1,41,0,0.393929806936841,0.4551768908749034,1.7387247087827906,-0.984266077097549,-0.07737619197781737,0.09967381985488152,0.12368647470742525,0.12369799800217152,0.14379513950211398,1912.1254339111033
1685667512730268239,22,1685667512730268239,camera_1,42,0,0.3940374774786225,0.4551096857859733,1.73920125810934,-0.9843287286306626,-0.07747127995249943,0.10196809630155038,0.1212339148567878,0.12126328871818258,0.1409845653413699,1911.7377617696766
1685667512750486612,23,1685667512750486612,camera_1,44,0,0.3944052087266838,0.4554161163530663,1.7408652035856793,-0.9853918161581514,-0.07758354673019968,0.09636837433772777,0.11703374877703658,0.15114467788953334,0.17606855519038084,1916.5560090132058
1685667512780446767,24,1685667512780446767,camera_1,46,0,0.39340081488746714,0.4551040959166927,1.736435633125773,-0.9854574587386168,-0.0775182896108035,0.0970688394418322,0.11594029584945396,0.08833491761470214,0.10238801629960495,1926.1679241592058
1685667512800440311,25,1685667512800440311,camera_1,48,0,0.3941731097073849,0.4571700487150648,1.7393576340909118,-0.9831046009936889,-0.07269268940368759,-0.11598318533485043,-0.12152784508860733,0.010014346044044942,0.011644139709385843,1892.8471642269285
1685667512820426940,26,1685667512820426940,camera_1,50,0,0.3950951871900429,0.4593580872150508,1.7434712922356692,-0.9832240279856481,-0.07388453337522526,0.11367283671283945,0.12202488563100132,0.016294803121127188,0.019040683197282988,1889.1395425249366
1685667512850451469,27,1685667512850451469,camera_1,52,0,0.39515168169954085,0.46153856473711263,1.7444475754752182,-0.9856798113220989,-0.07721244719139946,0.1022267122609439,0.10965056703485429,0.10189457010710612,0.11926256222043259,1906.7496615492264
1685667512870429039,28,1685667512870429039,camera_1,54,0,0.39424704128015226,0.46119993013712335,1.7406339488760112,-0.9855597611041591,-0.0777860015750953,0.10710692934367647,0.1055907237300744,0.12005044193938375,0.1398872096026313,1913.9911265252167
1685667512900390386,29,1685667512900390386,camera_1,56,0,0.394059864139572,0.4611721768316038,1.7398698530184133,-0.9860672906124948,-0.07849395789226979,0.10173518732674647,0.1056406579785094,0.11352602142142132,0.13219851186363724,1919.9927699114191
1685667512930455207,30,1685667512930455207,camera_1,58,0,0.39458868406284786,0.4605685502790469,1.7418056449539616,-0.9849531016572746,-0.07696843330651632,0.11311955210175946,0.10558037100878329,0.0824247362324968,0.09613634629538619,1906.8087364924138
1685667512950234413,31,1685667512950234413,camera_1,60,0,0.3943864704323855,0.4592561081166138,1.7405272208750955,-0.9839523268317355,-0.07520846031279023,0.11715108252121126,0.11161151322288221,0.02768958534579724,0.032239445230214284,1901.4182682489036
1685667512970276355,32,1685667512970276355,camera_1,62,0,0.394618251379877,0.4578854473728395,1.741398992404847,-0.983263135458826,-0.07319699460673766,-0.11264037201312335,-0.12307702068609216,0.013414605869911611,0.01563901787786585,1889.899072490632
