Time (s),Cam1 Fiducial ID,Cam1 Position X,Cam1 Position Y,Cam1 Position Z,Cam1 Rotation X,Cam1 Rotation Y,Cam1 Rotation Z,Cam1 Rotation W,Cam2 Fiducial ID,Cam2 Position X,Cam2 Position Y,Cam2 Position Z,Cam2 Rotation X,Cam2 Rotation Y,Cam2 Rotation Z,Cam2 Rotation W,Cam3 Fiducial ID,Cam3 Position X,Cam3 Position Y,Cam3 Position Z,Cam3 Rotation X,Cam3 Rotation Y,Cam3 Rotation Z,Cam3 Rotation W
1721025970.4715755,3,0.06521613977421035,-0.014750446006675475,0.25800818570363576,-0.007959522749397912,-0.10300250788616502,-0.03587230606908344,0.9940021665087297,3,-0.07283735845612396,-0.009092262946940478,0.2712237760111597,-0.000918365893402969,-0.1064176363124126,0.039544130448415094,0.9935344508535392,3,0.025193310095480197,-0.0020108035138987693,0.3459964628208583,-0.009221499892853145,-0.07289113410897131,-0.06806898026663191,0.994971587751879
1721025970.4884758,3,0.06521778127294364,-0.014749814012118442,0.25802435668569496,-0.007992841114916494,-0.10306862600191971,-0.03536438161267855,0.9940132460576875,3,-0.07284126969179054,-0.009092860045313341,0.27123767800457155,-0.0009512637187151123,-0.10675659035140418,0.039761323553066406,0.9934893872926818,3,0.025196316932620914,-0.0020111993683940566,0.34605571114133005,-0.009334702924261381,-0.07182322208642625,-0.06825219446492643,0.9950356405883971
1721025970.5008574,3,0.06521128960816513,-0.014747625140945787,0.25798931863025426,-0.00791521776624413,-0.103133445021935,-0.0357156356002348,0.993994585105619,3,-0.07285030010244004,-0.009092509557564774,0.27126264847037246,-0.0009290521386040061,-0.10661570714892316,0.039725958489061165,0.9935059517050636,3,0.025201115032737302,-0.002010263819436485,0.3461147397851966,-0.009280716940332948,-0.07225327694807554,-0.06662449947624825,0.995115324137297
1721025970.5167775,3,0.06522138387127513,-0.014752236355081355,0.25804410853681015,-0.00797657468012461,-0.10326936531601107,-0.03541097428507612,0.9939908829278982,3,-0.07284599097153674,-0.009093100975570392,0.27124730701971034,-0.0009254109171418802,-0.10649107193174742,0.03981406436640915,0.9935157952906886,3,0.025198007191772905,-0.0020130951240745405,0.3460690034933297,-0.009255855497103649,-0.07118868393012637,-0.06893751769851493,0.9950347325962448
1721025970.5385997,3,0.06521130628423917,-0.014752517149040538,0.25799032601678024,-0.007970001458408699,-0.1033808395052587,-0.03580959549552905,0.9939650667756826,3,-0.07284379488917461,-0.009091056877792937,0.2712445521351084,-0.0009500870461985521,-0.1067958069670276,0.04004918979030081,0.9934736107949755,3,0.025193136068358046,-0.0020149197310204326,0.34595587301692277,-0.009356148343539343,-0.07260936266641219,-0.06865959479169192,0.9949503520198341
1721025970.5505483,3,0.06521287311242209,-0.014751829858156656,0.2579992566140744,-0.007893985343402202,-0.10320866373200786,-0.03553831383937983,0.9939933022789968,3,-0.07284587521984408,-0.009091133442253346,0.27125229103906884,-0.0009709093044447827,-0.10660714689307643,0.03966175673167951,0.9935093953352417,3,0.025197198530692695,-0.0020121158441416946,0.3460475289739429,-0.009236075093850481,-0.07277121163768602,-0.06808925859959447,0.9949788432610019
1721025970.5680234,3,0.06522067522449597,-0.01475352062902719,0.2580319174475587,-0.007918073119340648,-0.10292812859584177,-0.03559988268492519,0.9940199961845105,3,-0.07285123530187083,-0.009089694929584257,0.27127043462932177,-0.0009481389858490227,-0.10671665303560095,0.03988405103212002,0.9934887616227019,3,0.02519676570800356,-0.002009511347644359,0.3460701886819747,-0.009301492625035452,-0.07188156601910663,-0.06788660422544646,0.9950567479638157
1721025970.5863035,3,0.06521542908188155,-0.014752994435322294,0.2580109363610392,-0.00796580070367072,-0.1027529456852085,-0.03557750962885612,0.9940385399876459,3,-0.07285528305984122,-0.009091027088148785,0.27129563983254407,-0.0009342806868149361,-0.10708216390221229,0.040377447311412754,0.9934295138771709,3,0.025201332585299656,-0.002010616996725345,0.3460411615287741,-0.009298141177583428,-0.07199700233411162,-0.06734635142757445,0.9950851446860902
1721025970.6001546,3,0.06521812250853953,-0.01475291551784231,0.2580235449803728,-0.007960137182572047,-0.1030694502234786,-0.03531420062318608,0.9940152070672811,3,-0.07284705630508026,-0.009093898644684633,0.2712570674797162,-0.0009874718062448213,-0.10701579720697901,0.03998987003123663,0.9934522909241649,3,0.025201202923627333,-0.002010088633941058,0.34605172370308307,-0.009111994142671097,-0.0713217556200556,-0.06953099541934878,0.9949852357768991
1721025970.6189618,3,0.06523033107105938,-0.014751826279050289,0.2580696068584046,-0.007953669549068829,-0.10265713729342978,-0.035207016954086956,0.9940617270877179,3,-0.07284277354297497,-0.009089719888258997,0.27124303036125996,-0.0010058523903034079,-0.10671379819232782,0.039979467990126395,0.9934851763743445,3,0.02519828631103435,-0.0020106644062939847,0.34599175031550194,-0.009256674336507602,-0.07295605748804902,-0.06906021069762312,0.9948981932612142
1721025970.6354709,3,0.06520392863477925,-0.014747205374252781,0.25796098241258053,-0.007931280872239299,-0.10338657847688194,-0.03623362145043292,0.9939494126217672,3,-0.07284748296808273,-0.009093797799120059,0.27125223210200083,-0.0009581960214131802,-0.10661274332983729,0.03930143553337739,0.993523126044425,3,0.025203266852831113,-0.002012045631087667,0.3460708743087037,-0.00927830861068109,-0.0737586197147073,-0.06828697743261487,0.9948921889934726
1721025970.6529708,3,0.06520868749533282,-0.014749986447893406,0.25797686801917274,-0.007931413897114109,-0.10357680189878357,-0.035573607293014994,0.9939534482289274,3,-0.0728380528358081,-0.00909419358594591,0.27121677948194955,-0.0009252343556090353,-0.10726380843377363,0.039798402682236944,0.9934332924185764,3,0.025190337300226934,-0.0020117425833851158,0.3459219280427346,-0.009315647992195572,-0.07087320979703209,-0.07095638444630359,0.9949147693857296
1721025970.6722302,3,0.06521437710537431,-0.014749279314211,0.2580027634445319,-0.007920862277788253,-0.10344875648832813,-0.03530964576727642,0.9939762792127306,3,-0.07284110522375159,-0.009091497515884256,0.27124065916591056,-0.0009497660100302216,-0.10676727074370326,0.039705147063072654,0.9934904876943548,3,0.025195760926233574,-0.0020117092499460833,0.3459713052255332,-0.009144914452601646,-0.07215513433193003,-0.06818321235276552,0.9950181187709366
1721025970.6866236,3,0.065218856643413,-0.014751371495065523,0.25802311771523967,-0.007917639043863575,-0.10332963417788717,-0.0353616081911271,0.9939868481819929,3,-0.07284366804065948,-0.009090184964679032,0.27124881158135733,-0.0009628498152609656,-0.10642064359097447,0.04004007019346306,0.9935142235100707,3,0.02519284188220782,-0.002014778064212593,0.3460043038800111,-0.009341685410494769,-0.07234976514139038,-0.06915489549217331,0.9949350957862245
1721025970.7009094,3,0.06521104276385248,-0.014754891446233726,0.25799172405465776,-0.007902286404442285,-0.10313868338848795,-0.0354064715808261,0.9940052050309733,3,-0.07284989392641449,-0.00909155414758326,0.2712704899021425,-0.0009752394532555825,-0.10670922677042587,0.03974212196360461,0.9934952207091369,3,0.02519689258823614,-0.002012290246649195,0.3459750756559439,-0.009237196316425604,-0.07187878735836828,-0.06971654411436366,0.994931011482129
1721025970.7178726,3,0.06521543287364207,-0.014751917684126441,0.25800891997143405,-0.007859078857404188,-0.10338631583246978,-0.03519113624848355,0.9939874689892436,3,-0.0728586013561146,-0.009094873476028983,0.2712952379329964,-0.000930667228421435,-0.10652988395307678,0.03982556915388086,0.9935111683947109,3,0.025198509788444033,-0.0020158832201453147,0.34604088232982533,-0.009315907776142229,-0.07313306058987293,-0.06835253599804512,0.994933515433921
1721025970.7392712,3,0.06522444808619655,-0.014752341883895388,0.2580420131033014,-0.007929652111284971,-0.10323731274863004,-0.035058243456342626,0.9940070912421055,3,-0.07285750695638794,-0.009094898160763093,0.27129222139467923,-0.0009773231795218423,-0.10649062047214927,0.039373594188904536,0.993533347538726,3,0.025190960135101928,-0.002011603742247893,0.3459710416984325,-0.009250188038724889,-0.07228111776801253,-0.0690711917208409,0.9949467546103751
