Time (s),Fiducial ID,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1720803949.2876303,9,0.1341434107208352,-0.04411169935331929,0.5973810381615927,0.014969924609972757,-0.08439774243261967,0.03818657232481478,0.9955876195109754
1720803949.3026376,9,0.13414316917870328,-0.04411191215563295,0.597383090661283,0.01503326672338568,-0.08502281597969684,0.03789254136761723,0.9955447136935686
1720803949.3203568,9,0.1341246979848883,-0.04410620412404449,0.5973006671179504,0.015041322255202877,-0.08514977275890363,0.03797759097625816,0.9955305004908499
1720803949.339104,9,0.1341154995794553,-0.04410185182186369,0.5972568224704781,0.014967730738166006,-0.08464955474433584,0.038435299879336915,0.9955567023737628
1720803949.353392,9,0.13412606691347176,-0.04410689902883075,0.5973151673956216,0.015036451087190898,-0.08527948039719978,0.03788255290945945,0.9955230924227464
1720803949.369995,9,0.13414143672021295,-0.04411261645516967,0.5973883239119553,0.015017582325059684,-0.08476054124703382,0.038008717038749154,0.9955628861592262
1720803949.388066,9,0.1341335299474958,-0.04410943759188725,0.5973520984826621,0.015037915729688578,-0.085193368376956,0.03761675552807303,0.9955405219169315
1720803949.4040637,9,0.13414106479825502,-0.04411301668919878,0.5973975424003604,0.01494797780686181,-0.08505330933417976,0.037251667356756,0.9955675797302419
1720803949.4198856,9,0.13411556200505684,-0.044103929085140506,0.5972751404718141,0.0149854720054936,-0.08495499760257096,0.03814703592578125,0.9955415047406094
1720803949.4385543,9,0.13413463818640947,-0.04410928726574746,0.5973670766371229,0.014986502540511459,-0.08560714504964721,0.03775531717111372,0.9955005562446263
1720803949.452917,9,0.1341189872929705,-0.04410488185406914,0.5972829856803874,0.014999282386068452,-0.0855453880283346,0.03772049529153662,0.9955069926173024
1720803949.4723225,9,0.13414807548081234,-0.04411707304569428,0.5974197988681242,0.014996608683136077,-0.08490052497825684,0.03778354262055077,0.9955598457619022
1720803949.4874878,9,0.13413352173391682,-0.04410925501422975,0.5973366515157895,0.014995936097401344,-0.0847036619231564,0.03828103825842166,0.995557619461188
1720803949.5045068,9,0.13410363671375775,-0.04409907903895241,0.5972113623772124,0.014910584603279818,-0.08547326851962424,0.038037442774393276,0.9955024599580582
1720803949.520558,9,0.13412079059644852,-0.04410542090573048,0.5972896459837611,0.014990342049009672,-0.08485580665410088,0.03848900138346863,0.9955367288527526
1720803949.5372057,9,0.1341298807907372,-0.04410713963558802,0.5973276976485168,0.014897497294137753,-0.08481643124044434,0.037552959651457496,0.9955772259284671
1720803949.5540154,9,0.13411445328865884,-0.04410259539006421,0.5972610676648494,0.014989560993254445,-0.08519275408186118,0.038164237360143814,0.995520466238588
