Time (s),Cam1 Fiducial ID,Cam1 Position X,Cam1 Position Y,Cam1 Position Z,Cam1 Rotation X,Cam1 Rotation Y,Cam1 Rotation Z,Cam1 Rotation W,Cam2 Fiducial ID,Cam2 Position X,Cam2 Position Y,Cam2 Position Z,Cam2 Rotation X,Cam2 Rotation Y,Cam2 Rotation Z,Cam2 Rotation W
1722358313.7831352,9,-0.19730575875646292,0.08311734436655499,1.0617627200572157,-0.0009371427459565399,-0.10975752541403588,0.028480158955617264,0.9935498416910566,9,1.342495792991631,-0.010282031363829795,2.374735946578155,-0.003740047920285498,-0.2296997148999965,0.007609363280119231,0.9732246146737583
1722358313.7997065,9,-0.19727700449461605,0.08310628708162535,1.0616212178515754,-0.0009639316597452999,-0.11064022125033073,0.028795267819101758,0.9934428241366784,9,1.3419767340296447,-0.010279759714383831,2.373820998985902,-0.003761056665892318,-0.22983234839738295,0.007517163980967883,0.973193936648078
1722358313.815364,9,-0.19724576511615344,0.0830915934839051,1.0614551840483553,-0.0008709371501835321,-0.1109093470406676,0.029426473566577224,0.993394403477757,9,1.3419640409914286,-0.010278485520546561,2.3737929080590234,-0.0035819368945347154,-0.23031663731802898,0.0074863046219424845,0.9730803520499767
1722358313.8324933,9,-0.19728150218653517,0.08310652004111435,1.0616742292816224,-0.0007773917202210635,-0.11019354888748202,0.02968326739922987,0.9934664972117586,9,1.342605492278927,-0.01028581683530684,2.3749172387933393,-0.003531030021752154,-0.22906798860215374,0.008102568673559402,0.9733702978854653
1722358313.8490715,9,-0.19725889915111647,0.0830951374097265,1.0615153070306678,-0.0009574585780924193,-0.11059383941330443,0.02890247342756284,0.9934448817054041,9,1.3424473160373438,-0.010283491013471596,2.374646161512794,-0.0037359787127630986,-0.22934036260396137,0.007600712513456914,0.9733094419109624
1722358313.8655457,9,-0.1972344980784954,0.08308820283913,1.0613893376256514,-0.0009288384237790572,-0.11121037240333109,0.028947661555933916,0.9933747647386348,9,1.3425094685507115,-0.010284859607324504,2.374753469734925,-0.0036555740126552583,-0.2297116794561786,0.007139312202415593,0.9732256733776274
1722358313.8814428,9,-0.1972769316464838,0.0831059705942376,1.061628384426761,-0.001005660461884176,-0.11066152221737521,0.028172223780001837,0.9934582738871613,9,1.3426964303124436,-0.010287989884721103,2.3750695508939486,-0.0035077744314504873,-0.22894335503210517,0.007488651585115232,0.9734046208040201
1722358313.9006739,9,-0.1972838881645203,0.08310924341371109,1.061662500652124,-0.0009977805140855428,-0.11029930900108374,0.02872636260445522,0.9934826938399312,9,1.342372170409552,-0.010285746357360707,2.3745073416574978,-0.003592088150227355,-0.22936668352843048,0.007715323582226366,0.973302879463485
1722358313.9159868,9,-0.19728963231101454,0.08311031021774967,1.0616814189902446,-0.0009519056259025679,-0.1109304472406649,0.028734901233274577,0.9934122181661444,9,1.3424830862273889,-0.010286901237190057,2.3747038125776676,-0.00361005179949713,-0.2293318997077525,0.00746846121546571,0.9733129349749294
1722358313.931115,9,-0.19730478624338355,0.08311613265087923,1.0617596553347575,-0.0008829303054197974,-0.10971057879947851,0.02851878071570016,0.9935539685794874,9,1.342711471162664,-0.010288914356130954,2.375104278939406,-0.0035983129990688457,-0.22950893608751774,0.0075354925639986555,0.9732707314778115
