Time (s),Cam1 Fiducial ID,Camera Position X,Camera Position Y,Camera Position Z,Camera Rotation W,Camera Rotation X,Camera Rotation Y,Camera Rotation Z,World Position X,World Position Y,World Position Z,World Rotation W,World Rotation X,World Rotation Y,World Rotation Z,Displacement Position X,Displacement Position Y,Displacement Position Z,Displacement Rotation W,Displacement Rotation X,Displacement Rotation Y,Displacement Rotation Z
1721062971.8900461,9,-0.058646691668229244,-0.00739604418936986,1.1737847957980425,0.0002709654292189992,-0.1082883858506802,0.009455742144356773,0.9940745148167162,0.30785001161752845,-0.02822566580498735,1.1338856048547776,0.0002709654292189992,-0.1082883858506802,0.009455742144356773,0.9940745148167162,1.2705986185267137e-05,1.4431749063162705e-06,-0.0001939271252384689,-7.984243847851923e-05,0.001520274955585702,0.9999988006569399,-0.0002847348347065639
1721062971.907949,9,-0.05865008061674329,-0.007393851507345116,1.1738210612394253,0.00017584237910109579,-0.10771431778492425,0.008582694675710063,0.9941448245480583,0.3078610672615559,-0.028224113329682502,1.1339203444232946,0.00017584237910109579,-0.10771431778492425,0.008582694675710063,0.9941448245480583,9.31703767122205e-06,3.635856931060062e-06,-0.00015766168385566992,7.063837325900458e-05,0.0005176751490727471,0.9999997461277297,0.00048452774586164003
1721062971.9268448,9,-0.058663565475533905,-0.007394290072338812,1.1740816319128993,0.00016810599158491885,-0.10765162760082178,0.008892842438500446,0.994148890342203,0.3079298642929672,-0.028229174991454956,1.1341719799885066,0.00016810599158491885,-0.10765162760082178,0.008892842438500446,0.994148890342203,-4.167821119394066e-06,3.1972919373648295e-06,0.00010290898961828887,8.280465360846931e-05,0.0004525112805458616,0.9999998804944032,0.00016549353321696777
1721062971.9457679,9,-0.05865221572147457,-0.007396824204982366,1.1739151117619022,0.00022965226675281241,-0.10820988247063389,0.008897468228060028,0.9940882272990957,0.3078832255413071,-0.0282287607159841,1.1340117025582397,0.00022965226675281241,-0.10820988247063389,0.008897468228060028,0.9940882272990957,7.181932939942515e-06,6.631592938104863e-07,-6.361116137876266e-05,-1.4424252083191614e-05,0.0013349226268920163,0.9999990759484938,0.00025666257947512647
1721062971.9575276,9,-0.05866489868925021,-0.007397165684091103,1.1741019317992951,0.00025509076703356413,-0.10753327221012472,0.009252376024967847,0.994158399770568,0.30793549586239943,-0.028232409635645887,1.1341914724099091,0.00025509076703356413,-0.10753327221012472,0.009252376024967847,0.994158399770568,-5.501034835701801e-06,3.216801850733711e-07,0.00012320887601413588,-5.470272931583028e-05,0.0003047583909602699,0.9999999295684353,-0.00021211567355119762
1721062971.9744675,9,-0.058672646474212234,-0.007397924753907596,1.174181798309801,9.389987090123656e-05,-0.10661899595762905,0.008970800060750099,0.9942594760071796,0.3079601129125069,-0.02823457703501781,1.134267817462684,9.389987090123656e-05,-0.10661899595762905,0.008970800060750099,0.9942594760071796,-1.3248819797723188e-05,-4.3738963141984333e-07,0.00020307538652009072,0.00020002443480342046,-0.0011703603552996034,0.9999992912674953,-8.781441322145497e-05
1721062971.9915245,9,-0.05865587791269347,-0.007398726155766834,1.1739334471970124,0.00029130090167406536,-0.10735669231333961,0.00887487664216276,0.9941809152885153,0.307890714510129,-0.028230981235814787,1.1340287964717664,0.00029130090167406536,-0.10735669231333961,0.00887487664216276,0.9941809152885153,3.5197417210391935e-06,-1.2387914906574968e-06,-4.527572626855658e-05,-0.00011180741040060889,-1.536921012392293e-05,0.9999999847848935,0.00013301542405104303
1721062972.0077255,9,-0.05864773774020039,-0.00739697361636031,1.1737979646541334,0.00014217167987703826,-0.10787616273268864,0.008749165172762972,0.9941258297670691,0.30785384332395904,-0.028226827864067622,1.133898228028561,0.00014217167987703826,-0.10787616273268864,0.008749165172762972,0.9941258297670691,1.1659914214118272e-05,5.13747915866121e-07,-0.00018075826914754067,0.0001237951286563513,0.0007915044177430088,0.9999996189770225,0.0003467583203533813
1721062972.0258896,9,-0.05866184193120474,-0.007399988546203499,1.174085133907229,0.00019279305002000154,-0.10773144321043303,0.009044427192677158,0.9941388722464248,0.3079289195203525,-0.02823493919341806,1.1341756662541185,0.00019279305002000154,-0.10773144321043303,0.009044427192677158,0.9941388722464248,-2.444276790226907e-06,-2.5011819273224045e-06,0.00010641098394792436,4.3775589509159424e-05,0.0005951632735899244,0.9999998215267348,2.8475849459005328e-05
1721062972.041769,9,-0.05865452188382079,-0.007395719740656815,1.1739589867059814,0.0001837115289585188,-0.10784401671170736,0.008948056832106541,0.9941275404033874,0.3078948461212066,-0.028228434796605188,1.1340540865746083,0.0001837115289585188,-0.10784401671170736,0.008948056832106541,0.9941275404033874,4.875770593722184e-06,1.7676236193616204e-06,-1.9736217299559655e-05,5.814148873071197e-05,0.0007624771928520968,0.9999996973202684,0.0001435530185431795
1721062972.0588515,9,-0.058660433465719704,-0.007398163567899579,1.174061427667484,8.109470463883499e-05,-0.10742497803072233,0.0086438426577871,0.9941756140153786,0.30792248571252706,-0.028232694335187346,1.1341528437465422,8.109470463883499e-05,-0.10742497803072233,0.0086438426577871,0.9941756140153786,-1.0358113051930906e-06,-6.76203623402663e-07,8.270474420291052e-05,0.00022028135673294314,6.73398697513406e-05,0.9999999034301018,0.00037427430177121204
